song,artist,lyrics
old man, neil young, old man look at my life i'm a lot like you were old man look at my life i'm a lot like you were  old man look at my life 24 and there's so much more live alone in a paradise that makes me think of two love lost such a cost give me things that don't get lost like a coin that won't get tossed rolling home to you  old man take a look at my life i'm a lot like you i need someone to love me the whole day through ah one look in my eyes and you can tell that's true  lullabies look in your eyes run around the same old town doesn't mean that much to me to mean that much to you i've been first and last look at how the time goes past but i'm all alone at last rolling home to you  old man take a look at my life i'm a lot like you i need someone to love me the whole day through ah one look in my eyes and you can tell that's true  old man look at my life i'm a lot like you were old man look at my life i'm a lot like you were
harvest moon, neil young, come a little bit closer hear what i have to say just like children sleeping we could dream this night away but there's a full moon rising let's go dancing in the light we know where the music's playing let's go out and feel the night  because i'm still in love with you i want to see you dance again because i'm still in love with you on this harvest moon  when we were strangers i watched you from afar when we were lovers i loved you with all my heart but now it's getting late and the moon is climbing high i want to celebrate see it shining in your eye  because i'm still in love with you i want to see you dance again because i'm still in love with you on this harvest moon   because i'm still in love with you i want to see you dance again because i'm still in love with you on this harvest moon
heart of gold, neil young, i want to live i want to give i've been a miner for a heart of gold it's these expressions i never give  that keep me searchin' for a heart of gold and i'm getting old keep me searchin' for a heart of gold and i'm getting old   i've been to hollywood i've been to redwood i crossed the ocean for a heart of gold i've been in my mind it's such a fine line  that keeps me searchin' for a heart of gold and i'm getting old keeps me searchin' for a heart of gold and i'm getting old   keep me searchin' for a heart of gold you keep me searchin' and i'm growing old keep me searchin' for a heart of gold i've been a miner for a heart of gold
ohio, neil young, tin soldiers and nixon coming we're finally on our own this summer i hear the drumming four dead in ohio  gotta get down to it soldiers are cutting us down should have been done long ago what if you knew her and found her dead on the ground how can you run when you know?  na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na  gotta get down to it soldiers are cutting us down should have been done long ago what if you knew her and found her dead on the ground how can you run when you know?  tin soldiers and nixon coming we're finally on our own this summer i hear the drumming four dead in ohio  four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio four dead in ohio
southern man, neil young, southern man better keep your head don't forget what your good book said southern change gonna come at last now your crosses are burning fast southern man  i saw cotton and i saw 'bacc tall white mansions and little shacks southern man when will you pay them back?  i heard screaming and bullwhips cracking how long? how long?   southern man better keep your head don't forget what your good book said southern change gonna come at last now your crosses are burning fast southern man  lily belle your hair is golden brown i've seen your black man coming 'round swear by god i'm gonna cut him down!  i heard screaming and bullwhips cracking how long? how long?
my my hey hey (out of the blue), neil young, my my hey hey rock and roll is here to stay it's better to burn out than to fade away my my hey hey  out of the blue and into the black they give you this but you pay for that an' once you're gone you can never come back when you're out of the blue and into the black  the king is gone but he's not forgotten this is the story of a johnny rotten it's better to burn out than it is to rust the king is gone but he's not forgotten  hey hey my my rock and roll can never die there's more to the picture than meets the eye hey hey my my
alabama, neil young, oh alabama the devil fools with the best laid plan swing low alabama you got the spare change you got to feel strange and now the moment is all that it meant  alabama you got the weight on your shoulders that's breaking your back your cadillac has got a wheel in the ditch and a wheel on the track  oh alabama banjos playing through the broken glass windows down in alabama see the old folks tied in white robes hear the banjo don't it take you down home?   alabama you got the weight on your shoulders that's breaking your back your cadillac has got a wheel in the ditch and a wheel on the track  oh alabama can i see you and shake your hand? make friends down in alabama i'm from a new land i come to you and see all this ruin what are you doing alabama? you got the rest of the union to help you along what's going wrong?
hey hey my my (into the black), neil young, hey hey my my rock and roll can never die there's more to the picture than meets the eye hey hey my my  out of the blue and into the black you pay for this but they give you that and once you're gone you can't come back when you're out of the blue and into the black  the king is gone but he's not forgotten (johnny rotten johnny rotten) is this the story of johnny rotten? (johnny rotten rotten johnny) it's better to burn out 'cause rust never sleeps the king is gone but he's not forgotten  hey hey my my rock and roll can never die there's more to the picture than meets the eye my my hey hey rock and roll is here to stay
the needle and the damage done, neil young, i caught you knockin' at my cellar door i love you baby can i have some more? ooh ooh the damage done  i hit the city and i lost my band i watched the needle take another man gone gone the damage done  i sing the song because i love the man i know that some of you don't understand milk-blood to keep from running out  i've seen the needle and the damage done a little part of it in everyone but every junkie's like a settin' sun
rockin' in the free world (electric), neil young, there’s colors on the street red white and blue people shuffling their feet people sleeping in their shoes there’s a warning sign on the road ahead there’s a lot of people saying we’d be better off dead don’t feel like satan but i am to them so i try to forget it any way i can  keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world  i see a woman in the night with a baby in her hand there's an old street light near a garbage can now she put the kid away and she’s gone to get a hit she hates her life and what she’s done to it there’s one more kid that’ll never go to school never get to fall in love never get to be cool  keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world   we got a thousand points of light for the homeless man we got a kinder gentler machine gun hand we've got department stores and toilet paper got styrofoam boxes for the ozone layer got a man of the people says keep hope alive got fuel to burn got roads to drive  keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world keep on rockin' in the free world   keep on rockin' in the free world
