billie jean, michael jackson, she was more like a beauty queen from a movie scene~i said don't mind but what do you mean i am the one~who will dance on the floor in the round?~she said i am the one who will dance on the floor in the round~she told me her name was billie jean~as she caused a scene~then every head turned with eyes that dreamed of being the one~who will dance on the floor in the round~~people always told me be careful of what you do~don't go around breaking young girls' hearts (hee-eeh)~and mother always told me be careful of who you love~and be careful of what you do (oh-oh)~'cause the lie becomes the truth (oh-oh)~~billie jean is not my lover~she's just a girl who claims that i am the one (oh baby)~but the kid is not my son hoo!~she says i am the one (oh baby)~but the kid is not my son (hee-hee-hee no-no-no hee-hee-hee)~hoo!~~for forty days and for forty nights the law was on her side~but who can stand when she's in demand?~her schemes and plans~'cause we danced on the floor in the round hee!~so take my strong advice just remember to always think twice~(don't think twice) do think twice! (ah-hoo!)~she told my baby we'd danced till three then she looked at me~then showed a photo of a baby crying his eyes were like mine (oh no)~'cause we danced on the floor in the round baby~(ooh hee-hee-hee)~~people always told me be careful of what you do~and don't go around breaking young girls' hearts~(don't break no hearts! hee-hee)~she came and stood right by me~then the smell of sweet perfume (ha-oh)~this happened much too soon (ha-oh ha-ooh)~she called me to her room (ha-oh hoo!)~~billie jean is not my lover (hoo!)~she's just a girl who claims that i am the one~but the kid is not my son~no-no-no no-no-no-no-no-no~billie jean is not my lover~she's just a girl who claims that i am the one (oh baby)~but the kid is not my son (oh no no)~she says i am the one (oh baby)~but the kid is not my son (no hee-hee)~~ah hee-hee-hee~hee! hoo!~she says i am the one but the kid is not my son~no-no-no hoo! (oh)~billie jean is not my lover~she's just a girl who claims that i am the one~but the kid is not my son~no-no-no no-no-no-no~she says i am the one but the kid is not my son (no-no-no)~she says i am the one (you know what you did)~she says he is my son (breaking my heart babe)~she says i am the one~~billie jean is not my lover~billie jean is not my lover~billie jean is not my lover~billie jean is not my lover~billie jean is not my lover~billie jean is not my lover
smooth criminal, michael jackson, as he came into the window~was a sound of a crescendo~he came into her apartment~he left the bloodstains on the carpet~she ran underneath the table~he could see she was unable~so she ran into the bedroom~she was struck down it was her doom~~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~~annie are you okay?~will you tell us that you're okay?~there's a sound at the window~then he struck you — a crescendo annie~he came into your apartment~left the bloodstains on the carpet~and then you ran into the bedroom~you were struck down~it was your doom~~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~~you've been hit by—~you've been hit by—~a smooth criminal~~so they came in to the outway~it was sunday what a black day~every time i tried to find him~there were no clues they’re behind him~and they end up never knowing~who’s the suspect or what to expect~mouth-to-mouth resuscitation~sounding heartbeats intimidation~~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~annie are you okay? are you okay?~annie are you okay?~so annie are you okay? are you okay annie?~annie are you okay?~so annie are you okay? are you okay annie?~~annie are you okay?~will you tell us that you're okay?~there's a sound at the window~then he struck you — a crescendo annie~he came into your apartment~left the bloodstains on the carpet~and then you ran into the bedroom~you were struck down~it was your doom~~annie are you okay? annie are you okay?~are you okay annie?~~you've been hit by—~you've been struck by—~a smooth criminal~~annie are you okay? (i don't know)~will you tell us that you're okay? (i don't know)~there's a sound at the window (i don't know)~then he struck you a crescendo annie? (i don't know)~he came into your apartment (i don't know)~left bloodstains on the carpet (i don't know why baby)~and then you ran into the bedroom (help me)~you were struck down~it was your doom annie (dag gone it)~annie are you okay? (dag gone it-baby)~will you tell us that you're okay? (dag gone it-baby)~there's a sound at the window (dag gone it-baby)~then he struck you a crescendo annie~he came into your apartment (dag gone it)~left bloodstains on the carpet~and then you ran into the bedroom~you were struck down (dag gone it)~it was your doom annie
they don't care about us, michael jackson, all i want to say is that they don’t really care about us~don’t worry what people say we know the truth~all i want to say is that they don’t really care about us~enough is enough of this garbage~all i want to say is that they don’t really care about us~(overlapping voices)~~skin head dead head~everybody gone bad~situation aggravation~everybody allegation~in the suit on the news~everybody dog food~bang bang shot dead~everybody’s gone mad~~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~~beat me hate me~you can never break me~will me thrill me~you can never kill me~shoot me sue me~everybody do me~kick me kick me~don’t you black or white me~~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~~tell me what has become of my life?~i have a wife and two children who love me~i am the victim of police brutality now~i’m tired of being the victim of hate~you’re ripping me of my pride oh for god’s sake~i look to heaven to fulfill its prophecy set me free~~skin head dead head~everybody’s gone bad~trepidation speculation~everybody allegation~in the suit on the news~everybody dog food~black male blackmail~throw the brother in jail~~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~~tell me what has become of my rights?~am i invisible 'cause you ignore me?~your proclamation promised me free liberty now~i’m tired of being the victim of shame~they’re throwing me in a class with a bad name~i can’t believe this is the land from which i came~you know i really do hate to say it~the government don’t wanna see~but if roosevelt was livin'~he wouldn’t let this be no no~~skin head dead head~everybody’s gone bad~situation speculation~everybody litigation~beat me bash me~you can never trash me~hit me kick me~you can never get me~~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~~some things in life~they just don’t wanna see~but if martin luther was livin’~he wouldn’t let this be no no~skin head dead head~everybody’s gone bad~situation segregation~everybody allegation~in the suit on the news~everybody dog food~kick me kick me~don’t you wrong or right me~~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about us~all i wanna say is that~they don’t really care about~all i wanna say is that~they don’t really care about~all i wanna say is that~they don’t really care about us
man in the mirror, michael jackson, i'm gonna make a change~for once in my life~gonna feel real good~gonna make a difference~gonna make it right~as i turn up the collar on my favorite winter coat~this wind is blowin' my mind~see the kids in the street with not enough to eat~who am i to be blind pretending not to see their needs~a summer's disregard a broken bottle top~and one man's soul~they follow each other on the wind ya know~'cause they got nowhere to go~that's why i want you to know~~i'm starting with the man in the mirror~i'm asking him to change his ways~and no message could have been any clearer~if you wanna make the world a better place~take a look at yourself and then make a change~~i've been a victim of a selfish kinda love~it's time that i realize~there are some with no home~not a nickel to loan~could it be really me pretending that they're not alone~a willow deeply scarred somebody's broken heart~and a washed-out dream~they follow the pattern of the wind ya see~'cause they got no place to be~that's why i'm starting with me~~i'm starting with the man in the mirror~i'm asking him to change his ways~and no message could have been any clearer~if you wanna make the world a better place~take a look at yourself and then make a change~i'm starting with the man in the mirror~i'm asking him to change his ways~and no message could have been any clearer~if you wanna make the world a better place~take a look at yourself and then make that change~i'm starting with the man in the mirror (man in the mirror oh yeah)~i'm asking him to change his ways (change his ways)~(come on change)~and no message could have been any clearer~~if you wanna make the world a better place~take a look at yourself and then make the change~you gotta get it right while you got the time~'cause when you close your heart (you can't)~then you close your mind (close your your mind!)~~(that man that man) i'm starting with the man in the mirror~(that man)~(ooh!)~(that man that man) i'm asking him to change his ways~(that man the man)~(change his ways ooh!)~and no message could have been any clearer~if you want to make the world a better place~take a look at yourself and then make that~(take a look at yourself and then make that)~change!~~make that change!
wanna be startin' somethin', michael jackson, i said you want to be starting something~you got to be starting something~i said you want to be starting something~you got to be starting something~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~~i took my baby to the doctor with a fever~but nothing he found~by the time this hit the street~they said she had a breakdown~someone's always trying~to start my baby crying~talking squealing lying~saying you just want to be starting something~~i said you want to be starting something~you got to be starting something~i said you want to be starting something~you got to be starting something~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~~you love to pretend that you're good~when you're always up to no good~you really can't make him hate her~so your tongue became a razor~someone's always trying~to keep my baby crying~treacherous cunning declining~you got my baby crying~~i said you want to be starting something~you got to be starting something~i said you want to be starting something~you got to be starting something~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~~you're a vegetable (you're a vegetable)~you're a vegetable (you're a vegetable)~still they hate you (still they hate you)~you're a vegetable (you're a vegetable)~you're just a buffet (you're just a buffet)~you're a vegetable (you're a vegetable)~they eat off of you (they eat off of you)~you're a vegetable~~billie jean is always talking when nobody else is talking~telling lies and rubbing shoulders~so they called her mouth a motor~someone's always trying~to start my baby crying~talking squealing spying~saying you just want to be starting something~~i said you want to be starting something~you got to be starting something~i said you want to be starting something~you got to be starting something~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~~you're a vegetable (you're a vegetable)~you're a vegetable (you're a vegetable)~still they hate you (still they hate you)~you're a vegetable (you're a vegetable)~you're just a buffet (you're just a buffet)~you're a vegetable (you're a vegetable)~they eat off of you (they eat off of you)~you're a vegetable~~if you can't feed your baby (yeah yeah)~then don't have a baby (yeah yeah)~and don't think maybe (yeah yeah)~if you can't feed your baby (yeah yeah)~you'll be always trying~to stop that child from cryin'~hustling stealing lying~now baby's slowly dyin'~~i said you want to be starting something~you got to be starting something~i said you want to be starting something~you got to be starting something~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~it's too high to get over (yeah yeah)~you're too low to get under (yeah yeah)~you're stuck in the middle (yeah yeah)~and the pain is thunder (yeah yeah)~~lift your head up high and scream out to the world~i know i am someone and let the truth unfurl~no one can hurt you now because you know what's true~yes i believe in me so do believe in you~~help me sing it~mama-say mama-sa ma-ma-ko-ssa~mama-say mama-sa ma-ma-ko-ssa~help me sing it babe~mama-say mama-sa ma-ma-ko-ssa~mama-say mama-sa ma-ma-ko-ssa~sing it to the world sing it out loud~mama-say mama-sa ma-ma-ko-ssa~mama-say mama-sa ma-ma-ko-ssa
thriller, michael jackson, it's close to midnight~something evil's lurking from the dark~under the moonlight~you see a sight that almost stops your heart~you try to scream~but terror takes the sound before you make it~you start to freeze~as horror looks you right between your eyes~you're paralyzed~~'cause this is thriller~thriller night~and no one's gonna save you~from the beast about to strike~you know it's thriller~thriller night~you're fighting for your life~inside a killer~thriller tonight yeah ooh~~you hear the door slam~and realize there's nowhere left to run~you feel the cold hand~and wonder if you'll ever see the sun~you close your eyes~and hope that this is just imagination~girl but all the while~you hear a creature creeping up behind~you're out of time~~'cause this is thriller thriller night~there ain't no second chance~against the thing with 40 eyes girl~(ooh ooh)~thriller thriller night~you're fighting for your life~inside a killer thriller tonight~~night creatures call~and the dead start to walk in their masquerade~there's no escaping the jaws of the alien this time~they're open wide~this is the end of your life ooh~~they're out to get you~there's demons closing in on every side ooh~they will possess you~unless you change that number on your dial~now is the time~for you and i to cuddle close together yeah~all through the night~i'll save you from the terror on the screen~i'll make you see~~that this is thriller thriller night~'cause i can thrill you more~than any ghoul would ever dare try~thriller thriller night~so let me hold you tight~and share a killer thriller chiller~thriller here tonight~'cause this is thriller thriller night~girl i can thrill you more~than any ghoul would ever dare try~(ooh ooh)~thriller thriller night~so let me hold you tight~and share a killer thriller~i'm gonna thrill you tonight~~darkness falls across the land~the midnight hour is close at hand~creatures crawl in search of blood~to terrorize y'all's neighborhood~i'm gonna thrill you tonight~and whosoever shall be found~without the soul for getting down~must stand and face the hounds of hell~and rot inside a corpse's shell~i'm gonna thrill you tonight~(thriller ooh thriller)~i'm gonna thrill you tonight~(thriller night thriller)~i'm gonna thrill you tonight~ooh babe i'm gonna thrill you tonight~thriller night babe~the foulest stench is in the air~the funk of 40 thousand years (thriller night thriller)~and grisly ghouls from every tomb~are closing in to seal your doom~and though you fight to stay alive~your body starts to shiver (i'm gonna thrill you tonight)~for no mere mortal can resist~the evil of the thriller!~ahahahahahahahaha~ahahahahahahahaha!
human nature, michael jackson, looking out across the nighttime~the city winks a sleepless eye~hear her voice shake my window~sweet seducing sighs~get me out into the nighttime~four walls won't hold me tonight~if this town is just an apple~then let me take a bite~~if they say why (why?) why (why?)~tell them that it's human nature~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?)~tell them that it's human nature~why (why?) why (why?) does he do me that way?~~reaching out to touch a stranger~electric eyes are everywhere~see that girl she knows i'm watching~she likes the way i stare~~if they say why (why?) why (why?)~tell them that it's human nature~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?)~(she's keeping him by keeping him around)~tell them that it's human nature~why (why?) why (why?) does he do me that way?~~i like livin' this way~i like lovin' this way~(that way) why? oh why?~(that way) why? oh why?~~looking out across the morning~the city's heart begins to beat~reaching out i touch her shoulder~i'm dreaming of the street~~if they say why (why?) why (why?)~tell them that it's human nature~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?)~(she's keeping him by keeping him around)~ooh-ooh tell 'em!~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?) why (why?)~cha-da-cha-sha-sha-sha-sha-sha (aah-ah)~why (why?) why (why?) does he do me that way?~if they say why (why? why?) why (why? why? why?)~(she's keeping him by keeping him around)~ooh-ooh tell 'em! (aah-ah)~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?) why (why?)~ooh tell 'em!~why (why?) why (why?) does he do me that way?~if they say why (why?) why (why?)~(she's keeping him by keeping him around)~da-da-da-da-da-da-da-da~why (why?) why (why?) does he do me that way?~i like living this way~why? oh why? (that way)~why? oh why? (that way)~why? oh why? (that way)
beat it, michael jackson, they told him don't you ever come around here~don't wanna see your face you better disappear~the fire's in their eyes and their words are really clear~so beat it just beat it~you better run you better do what you can~don't wanna see no blood don't be a macho man (woo!)~you wanna be tough better do what you can~so beat it but you wanna be bad~~just beat it beat it beat it beat it~no one wants to be defeated~showin' how funky and strong is your fight~it doesn't matter who's wrong or right~just beat it (beat it)~just beat it (beat it)~just beat it (beat it)~just beat it (beat it uh)~~they're out to get you better leave while you can~don't wanna be a boy you wanna be a man~you wanna stay alive better do what you can~so beat it just beat it (woo!)~you have to show them that you're really not scared (woo!)~you're playin' with your life this ain't no truth or dare~(woo!)~they'll kick you then they'll beat you then they'll tell you it's fair~so beat it but you wanna be bad~~just beat it beat it beat it beat it~no one wants to be defeated~showin' how funky and strong is your fight~it doesn't matter who's wrong or right~just beat it beat it beat it beat it~no one wants to be defeated~showin' how funky and strong is your fight~it doesn't matter who's wrong or right~just beat it (beat it beat it beat it)~beat it (beat it beat it ha ha ha ha)~beat it (beat it beat it)~beat it (beat it beat it)~beat it (beat it beat it)~~~beat it beat it beat it beat it~no one wants to be defeated~showin' how funky and strong is your fight~it doesn't matter who's wrong or right (who's right)~just beat it beat it beat it beat it (woo-hoo!)~no one wants to be defeated (no-ooo)~showin' how funky (woo-hoo!) and strong is your fight (woo-hoo!)~it doesn't matter who's wrong or right~just beat it beat it beat it beat it~no one wants to be defeated (oh-no!)~showin' how funky (woo-hoo!) and strong is your fight (woo-hoo!)~it doesn't matter who's wrong or right~just beat it beat it beat it beat it~no one wants to be defeated~showin' how funky and strong is your fight~it doesn't matter who's wrong or right (who's right)~just beat it (beat it)~beat it beat it~no one wants to be...
love never felt so good, michael jackson, dancin'~let me see you move come on~dancin'~let me see you move~~baby love never felt so good~and i doubt if it ever could~not like you hold me hold me~oh baby love never felt so fine~and i doubt if it's never mine~not like you hold me hold me~~and the night is gonna be just fine~gotta fly gotta see can't believe~i can't take it cause~~baby every time i love you~in and out of my life in out baby~tell me if you really love me~it's in and out of my life in out baby~so baby love never felt so good~~baby love never felt so fine~and i doubt if it was ever mine~not like you hold me hold me~oh baby love never felt so good~and i doubt if it ever could~not like you hold me hold me~~and the night through the thick and thin~gotta fly gotta see can't believe~i can't take it cause~~baby every time i love you~in and out of my life in out baby~tell me if you really love me~it's in and out of my life in out baby~so baby love never felt so good~~dancin'~let me see you move come on~let me see you move~dancin'~let me see you move come on~i said let me see you move~michael~~and the night that is good~gotta fly gotta see can't believe~i can't take it cause~~baby every time i love you~in and out of my life in out baby~tell me if you really love me~it's in and out of my life in out baby~so baby love never felt so good~baby every time i love you~in and out of my life in out baby~tell me if you really love me~it's in and out of my life in out baby~so baby love never felt so good
dirty diana, michael jackson, you'll never make me stay~so take your weight off of me~i know your every move~so won't you just let me be?~i've been here times before~but i was too blind to see~that you seduce every man~this time you won't seduce me~she's saying: that's okay~hey baby do what you please~i have the stuff that you want~i am the thing that you need.~she looked me deep in the eyes~she's touching me so to start~she says: there's no turning back.~she trapped me in her heart~~dirty diana nah~dirty diana nah~dirty diana no~dirty diana let me be!~oh no oh no oh no~~she likes the boys in the band~she knows when they come to town~every musician's fan~after the curtain comes down~she waits at backstage doors~for those who have prestige~who promise fortune and fame~a life that's so carefree~she's saying: that's okay~hey baby do what you want~i'll be your night-loving thing~i'll be the freak you can taunt~and i don't care what you say~i want to go too far~i'll be your everything~if you make me a star.~~dirty diana nah~dirty diana nah~dirty diana no~dirty diana~dirty diana nah~dirty diana nah~dirty diana no~dirty diana~diana diana~dirty diana~it's diana~~she said: i have to go home~'cause i'm real tired you see~but i hate sleeping alone~why don't you come with me?~i said: my baby's at home~she's probably worried tonight~i didn't call on the phone~to say that i'm alright.~diana walked up to me~she said: i'm all yours tonight.~at that i ran to the phone~saying baby i'm alright.~i said: but unlock the door~'cause i forgot the key.~she said: he's not coming back~because he's sleeping with me.~~dirty diana nah~dirty diana nah~dirty diana no~dirty diana~dirty diana nah~dirty diana nah~dirty diana no~dirty diana~diana diana~dirty diana~it's diana
