malibu, miley cyrus, i never came to the beach or stood by the ocean~i never sat by the shore under the sun with my feet in the sand~but you brought me here and i'm happy that you did~'cause now i'm as free as birds catchin' the wind~i always thought i would sink so i never swam~i never went boatin' don't get how they are floatin'~and sometimes i get so scared of what i can't understand~~but here i am next to you~the sky's more blue in malibu~next to you in malibu~next to you~~we watched the sun go down as we were walkin'~i'd spent the rest of my life just standing here talkin'~you would explain the current as i just smile~hoping that you'll stay the same and nothing will change~and it'll be us just for a while~do they even exist?~that's when i make a wish to swim away with the fish~cause it's supposed to be this hot all summer long~i never would've believed you if three years ago you told me~i'd be here writing this song~~but here i am next to you~the sky's so blue in malibu~next to you in malibu~next to you~next to you~the sky's so blue in malibu~next to you~~we are just like the waves that flow back and forth~sometimes i feel like i'm drowning~and you're there to save me~and i wanna thank you with all of my heart~it's a brand new start~a dream come true in malibu
wrecking ball, miley cyrus, we clawed we chained our hearts in vain~we jumped never asking why~we kissed i fell under your spell~a love no one could deny~~don’t you ever say i just walked away~i will always want you~i can’t live a lie running for my life~i will always want you~~i came in like a wrecking ball~i never hit so hard in love~all i wanted was to break your walls~all you ever did was wreck me~yeah you you wreck me~~i put you high up in the sky~and now you’re not coming down~it slowly turned you let me burn~and now we’re ashes on the ground~~don’t you ever say i just walked away~i will always want you~i can’t live a lie running for my life~i will always want you~~i came in like a wrecking ball~i never hit so hard in love~all i wanted was to break your walls~all you ever did was wreck me~~i came in like a wrecking ball~yeah i just closed my eyes and swung~left me crashing in a blazing fall~all you ever did was wreck me~yeah you you wreck me~~i never meant to start a war~i just wanted you to let me in~and instead of using force~i guess i should’ve let you win~i never meant to start a war~i just wanted you to let me in~i guess i should’ve let you win~~don’t you ever say i just walked away~i will always want you~~i came in like a wrecking ball~i never hit so hard in love~all i wanted was to break your walls~all you ever did was wreck me~~i came in like a wrecking ball~yeah i just closed my eyes and swung~left me crashing in a blazing fall~all you ever did was wreck me~yeah you you wreck me~yeah you you wreck me
we can't stop, miley cyrus, it’s our party we can do what we want~it’s our party we can say what we want~it’s our party we can love who we want~we can kiss who we want~we can screw who we want~it’s our party we can do what we want~it’s our party we can say what we want~it’s our party we can love who we want~we can kiss who we want~we can screw who we want~~red cups and sweaty bodies everywhere~hands in the air like we don’t care~'cause we came to have so much fun now~bet somebody here might get some now~if you’re not ready to go home~can i get a hell no?~'cause we gonna go all night~till we see the sunlight alright~~so la-da-di-da-di we like to party~dancing with molly~doing whatever we want~this is our house~this is our rules~~and we can’t stop~and we won’t stop~can't you see it's we who own the night?~can't you see it's we who 'bout that life?~and we can’t stop~and we won’t stop~we run things things don’t run we~don’t take nothing from nobody~~it’s our party we can do what we want~it’s our party we can say what we want~it’s our party we can love who we want~we can kiss who we want~we can screw who we want~~to my homegirls here with the big butt~shaking it like we at a strip club~remember only god can judge ya~forget the haters 'cause somebody loves ya~and everyone in line in the bathroom~trying to get a line in the bathroom~we all so turnt up here~getting turnt up yeah yeah yeah yeah~~so la-da-di-da-di we like to party~dancing with molly~doing whatever we want~this is our house~this is our rules~~and we can’t stop~and we won’t stop~can't you see it's we who own the night?~can't you see it's we who 'bout that life?~and we can’t stop~and we won’t stop~we run things things don’t run we~don’t take nothing from nobody yeah yeah~~it’s our party we can do what we want~it’s our party we can say what we want~it’s our party we can love who we want~we can kiss who we want~we can screw who we want~~it's our party we can do what we want to!~it's our house we can love who we want to!~it's our song we can sing if we want to!~it's my mouth i can say what i want to~yeah! yeah! yeah! ehh!~~and we can't stop (yeah)~and we won't stop (oh)~can't you see it's we who own the night?~can't you see it's we who 'bout that life?~and we can’t stop~and we won’t stop~we run things things don't run we~don’t take nothing from nobody yeah yeah~yeah yeah~~we can do what we want to~we can do what we want to
adore you, miley cyrus, baby baby are you listening?~wondering where you've been all my life~i just started living~oh baby are you listening?~oh~~when you say you love me~know i love you more~and when you say you need me~know i need you more~boy i adore you~i adore you~~baby can you hear me~when i'm crying out for you?~i'm scared oh so scared~but when you're near me~i feel like i'm standing with an army~of men armed with weapons~~when you say you love me~know i love you more~and when you say you need me~know i need you more~boy i adore you~i adore you~~i love lying next to you~i could do this for eternity you and me~we're meant to be in holy matrimony~god knew exactly what he was doing~when he led me to you~~when you say you love me~know i love you more (i love you more)~and when you say you need me~know i need you more~boy i adore you~i adore you~~when you say you love me~know i love you more~and when you say you need me~know i need you more~boy i adore you~i adore you
party in the u.s.a., miley cyrus, i hopped off the plane at lax~with a dream and my cardigan~welcome to the land of fame excess (whoa)~am i gonna fit in?~jumped in the cab here i am for the first time~look to my right and i see the hollywood sign~this is all so crazy~everybody seems so famous~~my tummy's turnin' and i'm feelin' kinda home sick~too much pressure and i'm nervous~that's when the taxi man turned on the radio~and a jay-z song was on~and a jay-z song was on~and a jay-z song was on~~so i put my hands up~they're playing my song the butterflies fly away~i'm noddin' my head like 'yeah'~movin' my hips like 'yeah'~got my hands up they're playing my song~they know i'm gonna be okay~yeah it's a party in the u.s.a. ~yeah it's a party in the u.s.a. ~~get to the club in my taxi cab~everybody's looking at me now~like who's that chick that's rockin' kicks?~she gotta be from out of town~so hard with my girls not around me~it's definitely not a nashville party~'cause all i see are stilettos~i guess i never got the memo~~my tummy's turnin' and i'm feelin' kinda home sick~too much pressure and i'm nervous~that's when the dj dropped my favorite tune~and a britney song was on~and a britney song was on~and a britney song was on~~so i put my hands up~they're playing my song the butterflies fly away~i'm noddin' my head like 'yeah'~movin' my hips like 'yeah'~got my hands up they're playing my song~they know i'm gonna be okay~yeah it's a party in the u.s.a. ~yeah it's a party in the u.s.a. ~~feel like hopping on a flight (on a flight)~back to my hometown tonight (town tonight)~something stops me every time (every time)~the dj plays my song and i feel alright~~so i put my hands up~they're playing my song the butterflies fly away~i'm noddin' my head like 'yeah' (noddin' my head)~movin' my hips like 'yeah' (ooh yeah)~got my hands up they're playing my song~they know i'm gonna be okay (gonna be okay)~yeah it's a party in the u.s.a. ~yeah it's a party in the u.s.a. ~~so i put my hands up~they're playing my song the butterflies fly away (flying away)~i'm noddin' my head like 'yeah' (noddin' my head like 'yeah')~movin' my hips like 'yeah' (movin' my hips like 'yeah')~got my hands up they're playing my song~they know i'm gonna be okay (i'm gonna be okay)~yeah it's a party in the u.s.a. ~yeah (ha-ha-ha-ha) it's a party in the u.s.a. 
fu, miley cyrus, oh you broke my heart~i told you i was weak for love~but then you went around~and did what you wanted to do~and now i'm cryin' cryin'~~ooh it seemed like everything was going fine~i found the love that i thought was gonna last~but then i accidentally saw a few things in your cell~i even lol'd~man i should've known~why? why you're doing what you do?~you you might as well just tell the honest truth~see i'm not really down with this~this ain't no texting shit~no i ain't got no biz but it is what it is~~i don't really have much to say~i was over it the second that i saw her name~~i got two ooh-ooh letters for you~one of them's f and the other one's u~'cause what you gotta do is go get yourself a clue~only two ooh-ooh letters to choose~one of them's f and the other one's u~smh~i'm pressing send on you~~could've been this could've been that~we done been there we done been back~you ain't with it could've said that~why you tripping?~let me hit that~i ain't trying to argue no more~i do it all for you~you know you're my ride or die baby let me show you~~oh i know what's been going on~don't even try to act like mr. super nonchalant~what makes you think i'll stick around?~i'm not as stupid as you sound~and you sound really dumb right now~from a to zed ooh-ah~i got a lot of nasty things floating up in my head~but none of them are worth my time~you're not even worth this rhyme~and i don't i don't give a flying~~i don't really have much to say~i was over it the second that i saw her name~~i got two ooh-ooh letters for you~one of them's f and the other one's u~'cause what you gotta do is go get yourself a clue~only two ooh-ooh letters to choose~one of them's f and the other one's u~smh~i'm pressing send on you~~(ooh-ooh two letters for you yeah) letters for you~what you trippin' on?~girl you know you wrong~don't let these girls drive you crazy haan~~i don't really have much to say~i was over it the second that i saw her name~~i got two ooh-ooh letters for you~one of them's f and the other one's u~'cause what you gotta do is go get yourself a clue~only two ooh-ooh letters to choose~one of them's f and the other one's u~smh~i'm pressing send on you
the climb, miley cyrus, i can almost see it~that dream i'm dreaming but~there's a voice inside my head saying~you'll never reach it~every step i'm taking~every move i make feels lost with no direction~my faith is shaken~~but i i gotta keep trying~gotta keep my head held high~~there's always gonna be another mountain~i'm always gonna wanna make it move~always gonna be an uphill battle~sometimes i'm gonna have to lose~ain’t about how fast i get there~ain’t about what's waiting on the other side~it's the climb~~the struggles i'm facing~the chances i'm taking~sometimes might knock me down but~no i'm not breaking~i may not know it~but these are the moments that i'm gonna remember most yeah~just gotta keep going~~and i i gotta be strong~just keep pushing on 'cause...~~there's always gonna be another mountain~i'm always gonna wanna make it move~always gonna be an uphill battle~sometimes i'm gonna have to lose~ain’t about how fast i get there~ain’t about what's waiting on the other side~it's the climb~~~there's always gonna be another mountain~i'm always gonna wanna make it move~always gonna be an uphill battle~sometimes you're gonna have to lose~ain’t about how fast i get there~ain’t about what's waiting on the other side~it's the climb~~keep on moving~keep climbing~keep the faith baby~it's all about it's all about the climb~keep your faith keep your faith
do my thang, miley cyrus, every single night and every single day~i'ma do my thang i'ma do my thang~so don't you worry 'bout me i'ma be okay~i'ma do my thang 'cause i'ma do my thang~and i i'ma-i'ma-i'ma do my thang~and i i'ma-i'ma-i'ma do my~i'ma do my thang~i'ma do my thang~i'ma do my thang~~bang bang~i'ma shoot 'em down baby~look at me~i'm i'm high up off the ground baby~oh shit~pass that shit around baby~that shit true~but but i don't hear a sound~~i'm a s-southern belle~crazier than hell~gettin' wild up in here gettin' live up in here~burnin' up up in here~turnt up up in here~we tear the roof up now we up outta here~~we do it we do it~we don't give a fuck~only thing we think about is turnin' up turnin' up~we do it we do it~we do it all the way live~so everybody hands to the sky 'cause~~every single night and every single day~i'ma do my thang i'ma do my thang~so don't you worry 'bout me i'ma be okay~'cause i'ma do my thang i'ma do my thang~and i i'ma-i'ma-i'ma do my thang~and i i'ma-i'ma-i'ma do my~i'ma do my thang~i'ma do my thang (ay ay ooh)~i'ma do my thang (oh)~~bang bitch!~you think i'm strange bitch?~i-it's bananas like a fuckin' 'rangutan bitch~don't worry 'bout me~i got it all arranged bitch~mind your business~stay in your lane bitch~~oh yeah~i'm a southern belle~i told ya'll once before i get crazier than hell~get wild up in here get live up in here~turnt up up in here~burnin' up up in here (here)~~we do it we do it~we don't give a fuck~only thing we think about is turnin' up turnin' up~we do it we do it~we do it all the way live~so everybody hands to the sky 'cause~~every single night and every single day~i'ma do my thang i'ma do my thang~so don't you worry 'bout me i'ma be okay~i'ma do my thang 'cause i'ma do my thang~and i i'ma-i'ma-i'ma do my i'ma do my thang
dooo it!, miley cyrus, yeah i smoke pot~yeah i love peace~but i don't give a fuck~i ain't no hippy~yeah i smoke pot (do it)~yeah i love peace (do it)~but i don't give a fuck (do it)~i ain't no hippy (ah)~yeah i smoke pot~yeah i love peace~but i don't give a fuck (do it)~i ain't no hippy (do it)~yeah i smoke pot (do it)~yeah i love peace (do it)~but i don't give a fuck (ah)~i ain't no hippy~(do it)~~(i understand) feel like i am one with the universe~(i understand)  and all i need is right here~(i understand)  feel like i am part of the universe~and it's part of me~~(i understand) why there is a sun?~and how do birds fly?~and why there is a moon~way up in the sky?~why there is trees? (do it)~and what the fuck is love? (do it)~and what is flying saucers~watching from above?~(yo fuck man)~~feel like i am one with the universe~and all i need is right here~feel like i am part of the universe~and it's part of me~~yo sing about love~love is what you need~loving what you sing~and loving smoking weed~(weed weed weed weed)~sing about peace~being high and free~so if you don't give a fuck sing along with me~~yeah i smoke pot (smoke pot)~yeah i love peace (love peace)~but i don't give a fuck (give a fuck)~i ain't no hippy (fuck)~~(i understand) why there is a sky?~and why do pigs run?~and why them motherfuckers~putting bullets in they gun?~~(get your ass up off that floor now)~(yep yep yep yep)~(yep yep yep yep)~peace muthafuckers peace muthafuckers~(yep yep yep yep)~peace muthafuckers peace muthafuckers~(yep yep yep yep)~peace muthafuckers peace muthafuckers~(yep yep yep yep)~peace muthafuckers peace muthafuckers~(yep yep yep yep)~peace muthafuckers peace muthafuckers~peace muthafuckers peace muthafuckers~peace muthafuckers peace muthafuckers~peace muthafuckers peace muthafuckers~~violence is king but peace is the way~someday we’re gonna see it~so here's what i'm saying~~peace mu'fucker (do it)~peace mu'fucker (do it)~peace mu'fucker (do it)~peace mu'fucker (do it)~peace mu'fucker (do it)~peace mu'fucker (do it)~peace mu'fucker (do it)~so peace mu'fucker (do it)~why they put the dick in the pussy?~fuck you
younger now, miley cyrus, feels like i just woke up~like all this time i've been asleep~even though it's not who i am~i'm not afraid of who i used to be~~no one stays the same (oh oh)~you know what goes up must come down (oh oh)~change is a thing you can count on (oh oh)~i feel so much younger now (oh oh)~~feels like i've been living in a dream~but never make it to the end~my eyes open when they feel the light~it's always right before i'm about to scream~~no one stays the same (oh oh)~you know what goes up must come down (oh oh)~change is a thing you can count on (oh oh)~i feel so much younger now (oh oh)~~what goes up must come down~what goes up must come down~what goes up must come down~what goes up must come down (yeah)~~no one stays the same (oh oh)~you know what goes up must come down (oh oh)~change is a thing you can count on (oh oh)~i feel so much younger now (oh oh)~~i feel so much younger now (yeah)~i feel so much younger now
