song,artist,lyrics
n.y. state of mind, nas, yeah yeah ayo black it's time word (word it's time man) it's time man (aight man begin) yeah straight out the fuckin' dungeons of rap where fake niggas don't make it back i don't know how to start this shit yo... now  rappers; i monkey flip 'em with the funky rhythm i be kickin' musician inflictin' composition of pain i'm like scarface sniffin' cocaine holdin' an m16 see with the pen i'm extreme now bullet holes left in my peepholes i'm suited up in street clothes hand me a 9 and i'll defeat foes y'all know my steelo with or without the airplay i keep some e&j sittin' bent up in the stairway or either on the corner bettin' grants with the cee-lo champs laughin' at base-heads tryna sell some broken amps g-packs get off quick forever niggas talk shit reminiscin' about the last time the task force flipped niggas be runnin' through the block shootin' time to start the revolution catch a body head for houston once they caught us off-guard the mac-10 was in the grass and i ran like a cheetah with thoughts of an assassin picked the mac up told brothers back up! — the mac spit lead was hittin' niggas one ran i made him backflip heard a few chicks scream my arm shook couldn't look gave another squeeze heard it click yo my shit is stuck! tried to cock it it wouldn't shoot now i'm in danger finally pulled it back and saw three bullets caught up in the chamber so now i'm jettin' through the buildin' lobby and it was full of children prob'ly couldn't see as high as i be (so what you sayin'?) it's like the game ain't the same got younger niggas pullin' the triggers bringin' fame to their name and claim some corners crews without guns are goners in broad daylight stick-up kids they run up on us .45’s and gauges mac's in fact same niggas will catch you back-to-back snatchin' your cracks in black there was a snitch on the block gettin' niggas knocked so hold your stash 'til the coke price drop i know this crackhead who said she got to smoke nice rock and if it's good she'll bring you customers and measuring pots but yo you gotta slide on a vacation inside information keeps large niggas erasin' and their wives basin' it drops deep as it does in my breath i never sleep 'cause sleep is the cousin of death beyond the walls of intelligence life is defined i think of crime when i'm in the new york state of mind  new york state of mind new york state of mind new york state of mind new york state of mind  be havin' dreams that i'm a gangsta drinkin' moëts holdin' tec's makin' sure the cash came correct then i stepped investments in stocks sewin' up the blocks to sell rocks winnin' gunfights with mega-cops but just a nigga walkin' with his finger on the trigger make enough figures until my pockets get bigger i ain't the type of brother made for you to start testin' give me a smith & wesson i have niggas undressin' thinkin' of cash flow buddha and shelter whenever frustrated i'ma hijack delta in the pj's my blend tape plays bullets are strays young bitches is grazed each block is like a maze full of black rats trapped plus the island is packed from what i hear in all the stories when my peoples come back black i'm livin' where the nights is jet-black the fiends fight to get crack i just max i dream i can sit back and lamp like capone with drug scripts sewn or the legal luxury life rings flooded with stones homes i got so many rhymes i don't think i'm too sane life is parallel to hell but i must maintain and be prosperous though we live dangerous cops could just arrest me blamin' us; we're held like hostages it's only right that i was born to use mics and the stuff that i write is even tougher than dykes i've taken rappers to a new plateau through rap slow my rhymin' is a vitamin held without a capsule the smooth criminal on beat breaks never put me in your box if your shit eats tapes the city never sleeps full of villains and creeps that's where i learned to do my hustle had to scuffle with freaks i'm a addict for sneakers 20's of buddha and bitches with beepers in the streets i can greet ya about blunts i teach ya inhale deep like the words of my breath i never sleep 'cause sleep is the cousin of death i lay puzzle as i backtrack to earlier times nothing's equivalent to the new york state of mind  new york state of mind new york state of mind new york state of mind new york state of mind  nasty nas—
ether, nas, fuck jay z! (what's up niggas? ayo i know you ain't talkin' about me dog you? what?!) fuck jay z! (you been on my dick nigga you love my style nigga) fuck jay z!  (i) fuck with your soul like ether (will) teach you – the king – you know you (not) god's son across the belly (lose) i prove you lost already  brace yourself for the main event y'all impatiently waitin' it's like an aids test what's the results? not positive who's the best: pac nas and b.i.g.? ain't no best east west north south flossed out greedy i embrace y'all with napalm blows up no guts left chest/face gone how could nas be garbage? semi-autos at your cartilage burner at the side of your dome come out of my throne! i got this locked since 9-1 i am the truest name a rapper that i ain't influenced gave y'all chapters but now i keep my eyes on the judas with hawaiian sophie fame kept my name in his music  (i) fuck with your soul like ether (will) teach you – the king – you know you (not) god's son across the belly (lose) i prove you lost already  ayo pass me the weed! put my ashes out on these niggas man ayo you faggots y'all kneel and kiss the motherfuckin' ring!  (i) fuck with your soul like ether (will) teach you – the king – you know you (not) god's son across the belly (lose) i prove you lost already  i've been fucked over left for dead dissed and forgotten luck ran out they hoped that i'd be gone stiff and rotten y'all just piss on me shit on me spit on my grave talk about me laugh behind my back but in my face y'all some well-wishers friendly-acting envy-hiding snakes with your hands out for my money man how much can i take? when these streets keep callin' heard it when i was sleep that this gay-z and cock-a-fella records wanted beef started cockin' up my weapon slowly loadin' up this ammo to explode it on a camel and his soldiers i can handle this for dolo and his manuscript just sound stupid when krs already made an album called blueprint (dick!) first biggie's your man then you got the nerve to say that you better than b.i.g dick-suckin' lips why don't you let the late great veteran live?  i… will… not… lose god's son across the belly i prove you lost already the king is back where my crown at? ill will rest in peace! let's do it niggas!  (i) fuck with your soul like ether (will) teach you – the king – you know you (not) god's son across the belly (lose) i prove you lost already  y'all niggas deal with emotions like bitches what's sad is i love you ‘cause you're my brother you traded your soul for riches my child i've watched you grow up to be famous and now i smile like a proud dad watchin' his only son that made it you seem to be only concerned with dissin' women were you abused as a child? scared to smile? they called you ugly? well life is harsh hug me don't reject me or make records to disrespect me blatant or indirectly in '88 you was gettin' chased through your building callin' my crib and i ain't even give you my numbers all i did was give you a style for you to run with smilin' in my face glad to break bread with the god wearin' jaz' chains no tec's no cash no cars no jail bars jigga no pies no case just hawaiian shirts hangin' with little chase you a fan a phony a fake a pussy a stan i still whip yo' ass you 36 in a karate class? you tae-bo ho tryna work it out you tryna get brolic? ask me if i'm tryna kick knowledge? nah i'm tryna kick the shit you need to learn though that ether that shit that make your soul burn slow is he dame diddy dame daddy or dame dummy? oh i get it you biggie and he's puffy rocafella died of aids that was the end of his chapter and that's the guy y'all chose to name your company after? put it together: i rock hoes y'all rock fellas and now y'all try to take my spot fellas feel these hot rocks fellas put you in a dry spot fellas in a pine box with nine shots from my glock fellas foxy got you hot ‘cause you kept your face in her puss what you think you gettin' girls now ‘cause of your looks? ne-gro please! you no-mustache-havin' with whiskers like a rat compared to beans you whack and your man stabbed un and made you take the blame you ass went from jaz to hangin' with kane to irv to b.i.g. – and eminem murdered you on your own shit you a dick-ridin' faggot you love the attention queens niggas run you niggas ask russell simmons! ha! r-o-c get gunned up and clapped quick j.j. evans get gunned up and clapped quick your whole damn record label gunned up and clapped quick shawn carter to jay-z – damn you on jaz dick! so little shorty's gettin' gunned up and clapped quick how much of biggie's rhymes is gonna come out your fat lips? wanted to be on every last one of my classics you pop shit apologize nigga just ask kiss!
life's a bitch, nas, ayo what's up what's up? let's keep it real son count this money you know what i'm sayin'? yeah yeah ayo put the grants over there in the safe you know what i'm sayin'? ‘cause we spendin' these jacksons the washingtons go to wifey you know how that go i'm sayin' that's what this is all about right? clothes bankrolls and hoes you know what i'm sayin'? yo then what man what?!  visualizin' the realism of life in actuality fuck who's the baddest a person's status depends on salary and my mentality is money-orientated i'm destined to live the dream for all my peeps who never made it ‘cause yeah we were beginners in the hood as five percenters but somethin' must've got in us ‘cause all of us turned to sinners now some restin' in peace and some are sittin' in san quentin others such as myself are tryin' to carry on tradition keepin' this schweppervescent street ghetto essence inside us 'cause it provides us with the proper insight to guide us even though we know somehow we all gotta go but as long as we leavin' thievin' we'll be leavin' with some kind of dough so until that day we expire and turn to vapors me and my capers will be somewhere stackin' plenty papers keepin' it real packin' steel gettin' high ‘cause life's a bitch and then you die  life's a bitch and then you die that's why we get high ‘cause you never know when you're gonna go life's a bitch and then you die that's why we puff lye ‘cause you never know when you're gonna go life's a bitch and then you die that's why we get high ‘cause you never know when you're gonna go life's a bitch and then you die that's why we puff lye  i woke up early on my born day; i'm 20 it's a blessin' the essence of adolescence leaves my body now i'm fresh and my physical frame is celebrated ‘cause i made it one quarter through life some godly-like thing created got rhymes 365 days annual plus some load up the mic and bust one cuss while i pus from my skull ‘cause it's pain in my brain vein money maintain don't go against the grain simple and plain when i was young at this i used to do my thing hard robbin' foreigners take they wallets they jewels and rip they green cards dipped to the projects flashin' my quick cash and got my first piece of ass smokin' blunts with hash now it's all about cash in abundance niggas i used to run with is rich or doin' years in the hundreds i switched my motto; instead of sayin' fuck tomorrow! that buck that bought a bottle could've struck the lotto once i stood on the block loose cracks produce stacks i cooked up and cut small pieces to get my loot back time is illmatic keep static like wool fabric pack a 4-matic to crack your whole cabbage  life's a bitch and then you die that's why we get high ‘cause you never know when you're gonna go life's a bitch and then you die that's why we puff lye ‘cause you never know when you're gonna go life's a bitch and then you die that's why we get high ‘cause you never know when you're gonna go life's a bitch and then you die that's why we puff lye ‘cause you never know when you're gonna go life's a bitch and then you die
the world is yours, nas, (it's yours) whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours) it's mine it's mine it's mine—whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this?  i sip the dom p watchin' gandhi 'til i'm charged then writin' in my book of rhymes all the words past the margin behold the mic i'm throbbin' mechanical movement understandable smooth shit that murderers move with the thief's theme play me at night they won't act right the fiend of hip-hop has got me stuck like a crack pipe the mind activation react like i'm facin' time like pappy mason with pens i'm embracin' wipe the sweat off my dome spit the phlegm on the streets suede timbs on my feet makes my cipher complete whether cruisin' in a six cab or montero jeep i can't call it the beats make me fallin' asleep i keep fallin' but never fallin' six feet deep i'm out for presidents to represent me (say what?) i'm out for presidents to represent me (say what?) i'm out for dead presidents to represent me  whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours) it's mine it's mine it's mine—whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this?  to my man ill will god bless your life to my peoples throughout queens god bless your life i trip we box up crazy bitches aimin' guns in all my baby pictures beef with housing police release scriptures that's maybe hitler's yet i'm the mild money-gettin' style rollin' foul the versatile honey-stickin' wild golden child dwellin' in the rotten apple you get tackled or caught by the devil's lasso shit is a hassle there's no days for broke days we sell it smoke pays while all the old folks pray to jesús soakin' their sins in trays of holy water odds against nas are slaughter thinkin' a word best describin' my life to name my daughter my strength my son the star will be my resurrection born in correction all the wrong shit i did he'll lead a right direction how you livin'? large a broker charge cards are mediocre you flippin' coke or playin' spit spades and strip poker?  (it's yours) it's mine it's mine it's mine—whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours) it's mine it's mine it's mine—whose world is this? yo the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours)  break it down it's yours it's yours it's yours it's yours  i'm the young city bandit hold myself down single-handed for murder raps i kick my thoughts alone get remanded born alone die alone no crew to keep my crown or throne i'm deep by sound alone caved inside 1000 miles from home i need a new nigga for this black cloud to follow ‘cause while it's over me it's too dark to see tomorrow tryin' to maintain i flip fill the clip to the tip picturin' my peeps not eatin' can make my heartbeat skip and i'm amped up they locked the champ up even my brain's in handcuffs headed for indiana stabbin' women like the phantom the crew is lampin' big willie style check the chip-toothed smile plus i profile wild stash loot in fly clothes burnin' dollars to light my stoge walk the blocks with a bop checkin' dames plus the games people play bust the problems of the world today  (it's yours) it's mine it's mine it's mine—whose world is this? the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours) the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours) yeah the world is yours the world is yours it's mine it's mine it's mine—whose world is this? (it's yours)  yeah a'ight? to everybody in queens the foundation (it's yours!) the world is yours to everybody uptown yo the world is yours (it's yours!) the world is yours to everybody in brooklyn y'all know the world is yours (it's yours!) the world is yours everybody in mount vernon the world is yours (it's yours!) long island the world is yours (it's yours!) staten island yeah the world is yours (it's yours!) south bronx the world is yours (it's yours!) aight
the message, nas, fake thug no love you get the slug cb4 gusto your luck low i didn't know 'til i was drunk though you freak niggas played out get fucked and ate out prostitute turned bitch i got the gauge out ninety-six ways i made out montana way the good-f-e-l-l-a verbal ak spray dipped attache jump out the range empty out the ashtray a glass of 'ze make a man cassius clay red dot plots murder schemes thirty-two shotguns regulate with my dunns seventeen rocks gleam from one ring they let me let y'all niggas know one thing there's one life one love so there can only be one king the highlights of livin' vegas-style roll dice in linen antera spinnin' on millenniums twenty g bets i'm winnin' 'em; threats i'm sendin' 'em lex with tv sets the minimum ill sex adrenaline party with villains a case of demi-sec to chase the henny wet any clique with the semi tec—who want it? diamonds i flaunt it chickenheads flock i lace 'em fried broiled with basil taste 'em crack the legs way out of formation it's horizontal how i have 'em fuckin' me in the benz wagon can it be vanity from last dragon? grab your gun it's on though shit is grimy real niggas buck in broad daylight with the broke mac that won't spray right don't give a fuck who they hit as long as the drama's lit yo overnight thugs bug ‘cause they ain't promised shit hungry-ass hooligans stay on that piranha shit  i never sleep ‘cause sleep is the cousin of death i ain't the type of brother made for you to start testin' i never sleep ‘cause sleep is the cousin of death i ain't the type of brother made for you to start testin' i never sleep ‘cause sleep is the cousin of death i ain't the type of brother made for you to start testin' i never sleep ‘cause sleep is the cousin of death i ain't the type of brother made for you to start testin'  i peeped you frontin' i was in the jeep sunk in the seat tinted with heat beats bumpin' across the street you was wildin' talkin' about how you ran the island in '89 layin' up playin' the yard with crazy shine i cocked the baby 9 that nigga grave be mine clanked him; what was he thinkin' on my corner when it's pay-me time? dug 'em you owe me cousin somethin' told me plug him! so dumb felt my leg burn then it got numb spun around and shot one heard shots and dropped son caught a hot one somebody take this biscuit 'fore the cops come then they came askin' me my name what the fuck? i got stitched up and went through left the hospital that same night what got my gat back time to backtrack i had to drop so how the fuck i get clapped? black was in the jeep watchin' all he seen speed by was a brown datsun and yo nobody in my hood got one that clown nigga's through blazin' at his crew daily the bridge touched me up severely hear me? so when i rhyme it's sincerely yours be lightin' l's sippin' coors on all floors in project halls contemplatin' war niggas i was cool with before we used to score together uptown coppin' the raw but a thug changes and love changes and best friends become strangers word up  y'all know my steelo there ain't an army that could strike back there ain't an army that could strike back there ain't an army that could strike back there ain't an army that could strike back  thug niggas yo to them thug niggas gettin' it on in the world you know? to them niggas that's locked down doin' they thing survivin' yaknowmsayin'? to my thorough niggas new york and worldwide yo to the queensbridge militia 9-6 shit the firm clique illmatic nigga it was written though it's been a long time comin' y'all fake niggas tryin' to copy better come with the real though fake-ass niggas yo (they throw us slugs we throwin' them back what) bring the shit man! live man! (fuck that son word up) 9-6 shit
it ain't hard to tell, nas, it ain't hard to tell i excel then prevail the mic is contacted i attract clientele my mic check is life or death breathin' a sniper's breath i exhale the yellow smoke of buddha through righteous steps deep like the shining sparkle like a diamond sneak a uzi on the island in my army jacket linin' hit the earth like a comet—invasion! nas is like the afrocentric asian: half-man half-amazin' ‘cause in my physical i can express through song delete stress like motrin then extend strong i drink moët with medusa give her shotguns in hell from the spliff that i lift and inhale; it ain't hard to tell  the buddha monk's in your trunk turn the bass up not stories by aesop place your loot up parties i shoot up nas i analyze drop a jew-el inhale from the l school a fool well you feel it like braille it ain't hard to tell i kick a skill like shaquille holds a pill vocabulary spills i'm ill plus matic i freak beats slam it like iron sheik jam like a tec with correct techniques so analyze me surprise me but can't magmatize me scannin' while you're plannin' ways to sabotage me i leave 'em froze like heroin in your nose nas will rock well; it ain't hard to tell  this rhythmatic explosion is what your frame of mind has chosen i'll leave your brain stimulated niggas is frozen speak with criminal slang begin like a violin end like leviathan it's deep? well let me try again wisdom be leakin' out my grapefruit troop i dominate break loops givin' mics men-e-strual cycles street's disciple i rock beats that's mega trifle and groove even smoother than moves by villanova you're still a soldier i'm like sly stone in cobra packin' like a rasta in the weed spot vocals will squeeze glocks mcs eavesdrop though they need not to sneak my poetry's deep i never fell nas' raps should be locked in a cell; it ain't hard to tell
one love, nas, what up kid? i know shit is rough doin' your bid when the cops came you shoulda slid to my crib fuck it black no time for lookin' back it's done plus congratulations you know you got a son i heard he looks like ya why don't your lady write ya? told her she should visit that's when she got hyper flippin' talkin' about he acts too rough he didn't listen he be riffin' while i'm tellin' him stuff i was like yeah shorty don't care she a snake too fuckin' with them niggas from that fake crew that hate you but yo guess who got shot in the dome-piece? jerome's niece on her way home from jones beach it's bugged plus little rob is sellin' drugs on the dime hangin' out with young thugs that all carry 9's and night time is more trife than ever what up with cormega? did you see him? are y'all together? if so then hold the fort down represent to the fullest say what's up to herb ice and bullet i left a half a hundred in your commissary you was my nigga when push came to shove (one what?) one love!  one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love  dear born you'll be out soon stay strong out in new york the same shit is goin' on the crackheads stalkin' loudmouths is talkin' hold check out the story yesterday when i was walkin' that nigga you shot last year tried to appear like he hurtin' somethin' word to mother i heard him frontin' and he be pumpin' on your block your man gave him your glock and now they run together — what up son? whatever since i'm on the streets i'ma put it to a cease but i heard you blew a nigga with a ox for the phone piece wildin' on the island but now in elmira better chill ‘cause them niggas will put that ass on fire last time you wrote you said they tried you in the showers but maintain when you come home the corner's ours on the reals all these crab niggas know the deal when we start the revolution all they probably do is squeal but chill see you on the next v-i i gave your mom dukes loot for kicks plus sent you flicks your brother's buckwildin' in 4-main he wrote me he might beat his case 'til he come home i'll play it lowkey so stay civilized time flies though incarcerated your mind dies i hate it when your moms cries it kinda makes me want to murder for reala i even got a mask and gloves to bust slugs but one love  one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love  sometimes i sit back with a buddha sack mind's in another world thinkin' how can we exist through the facts? written in school text books bibles et cetera fuck a school lecture the lies get me vexed-er so i be ghost from my projects i take my pen and pad for the weekend hittin' l's while i'm sleepin' a two-day stay you may say i need the time alone to relax my dome no phone left the 9 at home you see the streets had me stressed somethin' terrible fuckin' with the corners have a nigga up in bellevue or hdm hit with numbers from eight to 10 a future in a maximum state pen is grim so i comes back home nobody's out but shorty doo-wop rollin' two phillies together: in the bridge we call 'em oo-wops he said: nas niggas caught me bustin' off the roof so i wear a bulletproof and pack a black tre-deuce. he inhaled so deep shut his eyes like he was sleep started coughin' one eye peeked to watch me speak i sat back like the mack my army suit was black we was chillin' on these benches where he pumped his loose cracks i took the l when he passed it this little bastard keeps me blasted and starts talkin' mad shit i had to school him told him don't let niggas fool him ‘cause when the pistol blows the one that's murdered be the cool one tough luck when niggas are struck families fucked up coulda caught your man but didn't look when you bucked up mistakes happen so take heed never bust up at the crowd catch him solo make the right man bleed shorty's laugh was cold-blooded as he spoke so foul only 12 tryin' to tell me that he liked my style then i rose wipin' the blunt's ash from my clothes then froze only to blow the herb smoke through my nose and told my little man i'ma ghost i broze left some jewels in his skull that he can sell if he chose words of wisdom from nas: try to rise up above keep an eye out for jake shorty wop one love  one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love one love  to all my niggas locked up from queensbridge and all over to my man  one love to my man herb one love to my man  one love can't forget my motherfuckin' heart big  one love to  yeah one love
if i ruled the world (imagine that), nas, life i wonder will it take me under? i don't know  imagine smoking weed in the streets without cops harassin' imagine going to court with no trial lifestyle cruising blue bahama waters no welfare supporters more conscious of the way we raise our daughters days are shorter nights are colder feeling like life is over these snakes strike like a cobra the world's hot my son got knocked evidently it's elementary they want us all gone eventually trooping out of state for a plate of knowledge if coke was cooked without the garbage we'd all have the top dollars imagine everybody flashin' fashion designer clothes lacing your clique up with diamond roles your people holding dough no parole no rubbers go in raw imagine law with no undercovers just some thoughts for the mind i take a glimpse into time watch the blimp read the world is mine  if i ruled the world (imagine that) i'd free all my sons i love 'em love 'em baby black diamonds and pearls (could it be if you could be mine we'd both shine?) if i ruled the world (still living for today in these last days and times)  the way to be paradise like relaxin' black latino and anglo-saxon armani exchange deranged cash lost tribe of shabazz free at last brand new whips to crash then we laugh in the iller path the villa house is for the crew how we do trees for breakfast dime sexes and benz stretches so many years of depression make me vision the better livin' type of place to raise kids in open they eyes to the lies history's told foul but i'm as wise as the old owl plus the gold child seeing things like i was controllin' click rollin' tricking six digits on kicks and still holdin' trips to paris i civilized every savage give me one shot i turn trife life to lavish political prisoner set free stress free no work release purple m3's and jet skis feel the wind breeze in west indies i make coretta scott-king mayor the cities and reverse fiends to willies it sounds foul but every girl i meet'd go downtown i'd open every cell in attica send 'em to africa  if i ruled the world (imagine that) i'd free all my sons i love 'em love 'em baby black diamonds and pearls (could it be if you could be mine we'd both shine?) if i ruled the world (still living for today in these last days and times)  and then we'll walk right up to the sun hand in hand we'll walk right up to the sun we won't land  you'd love to hear the story how the thugs live in worry duck down in car seats heat's mandatory running from jake getting chased hunger for papes these are the breaks many mistakes go down out of state wait i had to let it marinate we carry weight trying to get laced flip the ace stack the safe millionaire plan to keep the gat with the cocked hammer making moves in atlanta back-and-forth scrambler ‘cause you could have all the chips be poor or rich still nobody want a nigga having shit if i ruled the world and everything in it sky's the limit i push a q-45 infinit(i) it wouldn't be no such thing as jealousies or b felonies strictly living longevity to the destiny i thought i'd never see but reality struck better find out before your time's out what the fuck?  if i ruled the world (imagine that) i'd free all my sons i love 'em love 'em baby black diamonds and pearls (could it be if you could be mine we'd both shine?) if i ruled the world (still living for today in these last days and times) if i ruled the world if i ruled if i ruled (imagine that) i'd free all my sons if i ruled if i ruled i love 'em love 'em baby black diamonds and pearls black diamonds black diamonds (could it be if you could be mine we'd both shine) if i ruled the world (still living for today in these last days and times)  if i ruled the world if i ruled if i ruled i'd free all my sons black diamonds i love 'em love 'em baby black diamonds and pearls if i ruled if i ruled the world if i ruled the world i love 'em love 'em baby!!
represent, nas, represent represent represent represent represent represent represent represent  straight up shit is real and any day could be your last in the jungle get murdered on a humble guns'll blast niggas tumble the corners is the hot spot full of mad criminals who don't care guzzling beers we all stare at the out-of-towners (ay yo yo who that?) they better break north before we get the four pounders and take their face off the streets is filled with undercovers homicide chasing brothers the d's on the roof tryin' to watch us and knock us and killer coppers even come through in helicopters i drink a little vodka spark a l and hold a glock for the fronters wannabe ill niggas and spot runners thinking it can't happen 'til i trap 'em and clap 'em and leave 'em done won't even run about gods i don't believe in none of that shit your facts are backwards nas is a rebel of the street corner pulling a tec out the dresser; police got me under pressure  represent represent represent represent represent represent represent represent  yo they call me nas i'm not your legal type of fella moët drinking marijuana smoking street dweller who's always on the corner rolling up blessed when i dress it's never nothing less than guess cold be walking with a bop and my hat turned back love committing sins and my friends sell crack this nigga raps with a razor keep it under my tongue the school drop-out never liked the shit from day one ‘cause life ain't shit but stress fake niggas and crab stunts so i guzzle my hennessy while pulling on mad blunts the brutalizer crew de-sizer accelerator the type of nigga who be pissing in your elevator somehow the rap game reminds me of the crack game used to sport bally's and cazals with black frames now i'm into fat chains sex and tecs fly new chicks and new kicks heines and beck's  represent represent represent represent represent represent  no doubt see my stacks are fat this is what it's about before the bdp conflict with mc shan around the time when shante dissed the real roxanne i used to wake up every morning see my crew on the block every day's a different plan that had us running from cops if it wasn't hanging out in front of cocaine spots we was at the candy factory breaking the locks nowadays i need the green in a flash just like the next man fuck a yard god let me see a hundred grand could use a gun son but fuck being the wanted man but if i hit rock bottom then i'ma be the son of sam then call the crew to get live too with swoop bokeem my brother jungle big bo cooks up the blow mike'll chop it; mayo you count the profit my shit is on the streets this way the jakes'll never stop it it's your brain on drugs to all fly bitches and thugs 'nuff respect to the projects i'm ghost one love  represent y'all represent represent y'all represent represent y'all represent represent y'all represent  one time for your mothafuckin' mind this goes out to everybody in new york that's living the real fucking life and every projects all over to my man big will he's still here the 40 side of vernon my man big l.e.s big cee-lo from the don shawn penn the 40 busters my crew the shorty busters the 41st side of vernon posse the goodfellas my man cormega lakey the kid can't forget draws the hillbillies my man slate wallethead black jay big oogie crazy barrio spot (big dove) we rock shit a lot phd and my man premo from gang starr '94 real shit y'all (word up harry o) fuck y'all crab-ass niggas though!  bitch ass niggas! bitch ass niggas! young bitch ass motherfuckers! come to queensbridge motherfucker! yeah yeah let's bring it back that's just a warm up ‘cause i can– on anybody anybody
nas is like, nas, umm premo nas yeah yeah yo (nas is... nas is... nas is... nas is... nas is... nas is... nas is...)  freedom or jail clips inserted a baby's being born same time a man is murdered—the beginning and end as far as rap go it's only natural i explain my plateau and also what defines my name first it was nasty but times have changed ask me now i'm the artist but hardcore my sign is for pain i spent time in the game kept my mind on fame saw fiends shoot up and do lines of cocaine saw my close friends shot flatline am i sane? that depends carry mac-10's to practice my aim on rooftops tape cd covers to trees line the barrel up with your weak picture then squeeze street scriptures for lost souls in the crossroads to the corner thugs hustling for cars that cost dough to the big dogs living large taking in light pushing big toys getting nice enjoying your life it's what you make it suicide few try to take it belt tied around their neck in jail cells naked heaven and hell rap legend presence is felt and of course n-a-s are the letters that spell - nas nas  nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt.. nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt..  nas is like… earth wind & fire rims and tires bulletproof glass inside is the realest driver planets in orbit line 'em up with the stars tarot cards you can see the pharaoh nas nas is like… iron mike messiah type before the christ after the death the last one left let my cash invest in stock came a long way from blasting tecs on blocks went from seiko to rolex owning acres from the projects with no chips to large cake dough dimes giving fellatio siete zeros bet my 9 spit for the pesos but what's it all worth? can't take it with you under this earth rich men died and tried but none of it worked they just rob your grave i'd rather be alive and paid before my number's called history's made some'll fall but i rise thug or die making choices that determine my future under the sky to rob steal or kill i'm wondering why it's a dirty game is any man worthy of fame? much success to you even if you wish me the opposite sooner or later we'll all see who the prophet is  nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt.. nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt..  nas is like… sex to a nympho but nothing sweet i'm like beef busting heat through your windows i'm like a street sweeper green leaf breather like greeks in egypt learning something deep from they teachers i'm like crime like your 9 your man you would die for always got you i’m like pop dukes you would cry for i'm like a whole lot of loot i'm like crisp money corporate accounts from a rich company i'm like ecstasy for ladies i'm like all races combined in one man; like the '99 summer jam bulletproof hummer man i'm like being locked down around new faces and none of 'em fam i'm the feeling of a millionaire spending a hundred grand i'm a poor man's dream a thug poet live it and i write down and i watch it blow up y'all know what i'm like y'all play it your system every night now…  nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt.. nas is like.. life or death.. i'm a rebel..  my poetry's deep i never fell.. nas is like.. half-man half-amazing.. no doubt.. nas is like..
