lovers and friends, lil jon, usher (lil jon ludacris!)~yeah man once again it's on (it's on)~you know we had to do it again right?~(we had to do it again boy!)~(what?) uh-huh uh yeah~(i want you to sing to these niggas man)~uh oh-oh-oh~i guess i'm up first let me at 'em~uh oh-oh-oh~check me out let's get it~~baby how you doing? hope that you're fine~want to know what you got in mind and i~got me feenin' like jodeci girl i can't leave you alone~take a shot of this here patron and it's gon' be on~v-i-p done got way too crowded~i'm about to end up callin' it a night~she should holla at your girl tell her that you're shaking the scene~pulled off beep beep shotgun in the gt with me~she said “oh! i'm ready to ride”~(i was like) yeah~'cause once you get inside you can't change you mind~don't mean to sound impatient but you gotta promise baby~oh!~~tell me again (tell me again my baby)~that we'll be lovers and friends (oh i gotta know baby oh yeah)~tell me again (make sure you're right oh before we begin)~that we'll be lovers and friends (oh oh it's a good look baby)~~it's a really good look baby look here~sometime wanna be your lover~sometime wanna be your friend~sometime wanna hug you~hold hands slow dance while the record spins~opened up your heart 'cause you said i made you feel so comfortable~used to play back then now you all grown up like rudy huxtable~i could be your bud you could beat me up~play fight in the dark then we both make up (make up)~i do anything just to feel yo butt (butt)~why you got me so messed up~i don't know but you gotta stop tripping (tripping)~be a good girl now turn around and get these whippings (whippings)~you know you like it like that~you don't have to fight back here's a pillow bite that~and i'll be setting separate plays~so on all these separate days~your legs can go they separate ways~~tell me again (tell me again my baby)~that we'll be lovers and friends (oh it's a good look baby)~tell me again (tell me over and over and over again)~that we'll be lovers and friends (make sure you're right before you choose)~~i's been knowing you for a long time (shawty)~but fucking never crossed my mind (shawty)~but tonight i seen something in you (shawty)~that made me wanna get with you (shawty)~you ain't been nothing but a friend to me (shawty)~and a nigga never ever dreamed we'd be (shawty)~up in here kissing hugging squeezing touching (shawty)~up in the bathtub rub-a-dubbing (shawty)~are you sure you wanna go this route (shawty)~let a nigga know before i pull it out (shawty)~i would never ever cross the line (shawty)~shawty let me hear you tell me one more time~one more time~~tell me again (tell me again my baby)~that we'll be lovers and friends (oh it's a good look baby)~tell me again (make sure you're right oh before we leave)~that we'll be lovers and friends (tell me over and over and over again)~~ah ah ooh~ah ah ooh~ah ah ooh yeah~~please tell your lovers and friends~that ursher jon and luda had to do it again (hey!)~uh please tell your lovers and friends~that ursher jon and luda had to do it again (hey!)~that's right yeah please tell your lovers and friends~that ursher jon and luda had to do it again (hey!)
bend ova, lil jon, [bend ova make your knees touch your elbows~bend ova make your knees touch your elbows]~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows~~how fast can you shake it?~put it on a nigga 'til his ass can't take it~how fast can you shake it?~put it on a nigga 'til his ass can't take it~how fast can you shake it?~put it on a nigga 'til his ass can't take it~bend ova make your knees touch your elbows~stop playing girl shake that shit~stop playing girl shake that shit~wiggle that ass make it shake like jello-o~wiggle that ass make it shake like jello-o~wiggle that ass make it shake like jello-o~wiggle that ass make it shake like jello-o~wiggle that wiggle that wiggle that~wiggle that wiggle that wiggle that~wiggle that ass make it shake like jello-o~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows~~head baby on the fly ain't shit really~i get pussy so wet that's a free willy~pussy on the pedestal watch 'em pop a wheelie~pop pop pop bitch feel city~with my nicki's jose cuervo trippy~she heartless 'til that dance got no engine~one minute i'mma gas in it~twenty more minutes i'm back up in it~daddy take you mrs. t-raw~take shots i don't miss get faded up in it~a million get illin' richest nigga in the building~fuck it i'mma buy the whole building~hundred business hundred business back in it~hundred business hundred business back in it~she the business baby put your back in it~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows~~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~hands on your knees bounce that ass like a yoga ball~bend ova make your knees touch your elbows~bend ova make your knees touch your elbows
snap yo fingers, lil jon, what's happenin'? dis ya boy lil jon! bme click~what's up 40? what's happenin'?~what's up sean paul? what's happenin'?~hey! now ladies and gentlemen it's about dat time~to turn this thang on out~now let me see everybody do this~hey! let's go!~~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~~snap ya fingers and then rock wit it~do it do it do it do it gon' drop wit it~do a step with it put your hips with it~all my ladies let me see ya put a twist wit it~you can't do like me i'm by myself~i do it so good i don't need nobody else~what's happenin' what's up~got da perc' fired up~what's happenin' what's up~got patron in my cup~i pop i drank~i'm on patron and perc' i can't thank~i'm blowed to the do'~don't know how the hell i'm gettin' home~~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~~straight from the bay posted in the 'a'~bout to hit the club we been mobbin' all day~drinkin' on some rossi jon on patron~vip status strapped wit my chrome~look around the club what do i see~everybody rockin' side to side to the beat~snappin' they fingers bouncin' to the groove~all by they self that's the new move~nigga where i'm from we like to go dumb~i'm soakin' up the game i'm seein' how it's done~i ask shawty what they call it she said 'the pool palace'~straight from bankhead i said 'you good at it'~do what'cha do you and ya crew~they even got playa's and thugs doin' it too~the mo' that i drank the more it's lookin' smooth~it's nuthin' to a boss i can do the shit too~~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~~chillin' in the vip yeah we gettin' crunk~niggas poppin' bottles and these bitches gettin' drunk~rollin' up the kush put it in the air~i'm throwin' up the e's to let 'em know we in here~brand new shoes brand new tool~pull out the ol' school 'cause i'm feelin' real cool~yeah i'm from the 'a' so i'm leanin' and rockin'~snappin' my fingers then reachin' for my glock bitch!~reppin' my block bitch! straight from the dec~when you snap ya fingers shawty gotta jerk ya neck~smokin' on the best we don't fuck wit dat mess~i bet you can't do it do it do it like this~yeah i'm back to the track back to the snap~1 2 step then you gotta lean back~this is how we do it in the a town~(and if you ain't know) this is how it goes down~~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~snap ya fingers! do ya step!~you can do it all by yo self!~let me see you do it! ay!~let me see you do it! ay!~hey! hey!
take it off, lil jon, i can feel your eyes on me keep on watching~i can't hear a word you speak so no talking~just listen to my body hear it calling~i can feel your eyes on me your eyes on me~~con calma no pierdas la calma (mami)~me baila y solita se alarma (mami)~muévelo (wild out let your freak out)~báilalo (let loose get crazy mami)~muévelo (keep dancing make ya body sweat)~báilalo (too hot you can take it off)~~hey the way you move your body got me so turnt up like~hey so sexy got me caught up in the moment like~hey keep playing you gon' wake up in the morning like~hey que me tiene al borde de la locura~~quitatelo (take it off)~ese mahon la camisa también nena~quitatelo (take it off)~que aquí no hay nadie quiero verte bien nena~quitatelo (take it off)~que yo quiero ver tu meneo cintura~tanta hermosura tanta figura~que me tiene al borde de la locura~~i can feel your eyes on me keep on watching~i can't hear a word you speak so no talking~just listen to my body hear it calling~i can feel your eyes on me your eyes on me~~con calma no pierdas la calma (mami)~me baila y solita se alarma (mami)~muévelo (wild out let your freak out)~báilalo (let loose get crazy mami)~muévelo (keep dancing make ya body sweat)~báilalo (too hot you can take it off)~~hey back it up on me any closer i'mma be like~hey all up in your ear tell you what you wanna hear like~hey i'm looking at you booty looking at me like~hey tell the valet to bring me my keys~~sigue como vas jugando y ya mismo me encuentras~no me digas nada cuando te agarre en la oscuridad~el fuego que andas causando tienes que apagar~no te puedes ir corriendo te agarro sola y tienes que trabajar~~quitatelo (take it off)~ese mahon la camisa también nena~quitatelo (take it off)~que aquí no hay nadie quiero verte bien nena~quitatelo (take it off)~que yo quiero ver tu meneo cintura tanta hermosura tanta figura que me tiene al borde de la locura~~i came to the party to find me a papi~i hope you can handle a woman like me with a mind and a body~salgo en el ferrari y me encuentro una mami~que quiere que yo me le pegue que la noche entera me entregue~~i can feel your eyes on me keep on watching~i can't hear a word you speak so no talking~just listen to my body hear it calling~i can feel your eyes on me your eyes on me~~~con calma no pierdas la calma (mami)~me baila y solita se alarma (mami)~muévelo (wild out let your freak out)~báilalo (let loose get crazy mami)~muévelo (keep dancing make ya body sweat)~báilalo (too hot you can take it off)~~quitatelo (take it off)~ese mahon la camisa también nena~quitatelo (take it off)~que aquí no hay nadie quiero verte bien nena~quitatelo (take it off)~que yo quiero verte tu meneo de cintura tanta hermosura tanta finura que me tiene al borde de la locura
act a fool, lil jon,  + (juicy j)~yeah! it's goin' down~(y'all know what time it is) (lil jon!) lil jon!~three 6 mafia! (mafia)~it's what the world been waiting on man~it's going down~we gon' let 'em know how we hit the club~for real~ + (dj paul)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~~i'm crunk tonight just got paid~pocket full of motherfucking money okay~i'mma ball till i fall~drank till i can't~runnin up my black card i got money in da bank~patron on the table crunk n goose~drank what you want bitch gon' get loose~(oooh) act a fool till the cut the lights on~and we still ain't goin' home~till all the liquor gone (yep)~i just don't give a fuck~standin' on the table with the weed fired up~drankin' out the bottle motherfuck a cup~i'll pour it in your mouth~lean back open up~(oooh) crunk ain't dead bitch~you see the chain~and i'm the king fool you know my name~party like a rockstar fuck like a pornstar~i don't give a damn i'll buy the whole bar~ + (dj paul)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~~yes sir a nigga on tonight~i got my money lookin' right~but i ain't tryin' to fight~but if a sucka touch me~best believe it's on~get cracked crush your dome~with a bottle of patron~right here right now~quick fast in a hurry~hit the sucka so hard~i'll make his vision get blurry~i'm too clean for this~i'm too lean for this~figured it would happen~so i brought my team for this~~yes sir i'm the realest playa trapstar~sellin the biggest bricks~i'm the realest playa rap bars~smokin' purpleish~step up in the club~i got love cuz a nigga rich~girl between my legs~doin' me up like a licourish~25 stacks at the bar~ice on my wrist~step up to this pimpin'~get your braided hair wig split~back up off in my chevy~brains blown out peanut butter~ridin' high stay high~i'm talkin' like st-st-stutter~ + (dj paul)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~~get crunk in this motherfucker throw yo' hood up~get crunk in this motherfucker throw yo' hood up~get drunk in this motherfucker hold ya dranks up~get drunk in this motherfucker hold ya dranks up~lean back in this motherfucker turn that bottle up~lean back in this motherfucker turn that bottle up~throw them stacks up bitch make it rain nigga what~throw them stacks up bitch make it rain nigga what~ + (dj paul)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)~goose got me loose~gone off patron~money in my pocket~and i'm all up in the zone like~(oooh i'mma act a damn fool! yep)~(oooh i'm 'bout to act a fool! yep)
outta your mind, lil jon, yeaaaaah~!!!~everybody in the club right now~(what's up) if you standin around (what?!)~you need to get the fuck up outta here!!~(get out!!)~cause when we come to the club (wassup?)~we like to get fuckin crazy!! (craaaaa-zee!!)~you know what?! let's - fuckin' - lose it!!~~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~~i'm a semi truck no fuckin brakes~outta control like a bull out the gate~get drunk i'd get the fuck out the way~we get bananas like a group full of apes (hoo!)~i done lost it you flossin~i'm over here with my niggas in a mosh pit (yeah!)~throwin elbows scuffin shell-toes~is that nigga dead?! who the fuck knows!!~shake them dreads like a motherfuckin rasta~go dumb like a motherfuckin monster~you an imposter you drinkin water~we drinkin patron and takin it wit vodka~~.(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~i don't give a fuck! fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~let's - fuckin' - lose it!!~~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~~grab that bottle (what?!) twist that cap (what?!)~hold it in the air then tip it back~i'm drunk as hell (what?!) i'm on patron~i really don't dance {but i'm in the zone}~move bitch~!!! get out the way~i'm runnin over niggas like a runaway train~i grab my beer you do the same~shake that shit and make it rain!!!~~.(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~i don't give a fuck! fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~let's - fuckin' - lose it!!~~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~~flip cup tip cup beer pong shots~niggas on the goose bitches on my jock~bar-ten-der gimme whatcha got! (what?!)~i'm dancin on the table like a nigga smokin rocks!~hah - get off me!!~i'm checkin motherfuckers like a nigga playin hock-ey~yeah i'm in the penalty box~i fucked up i'm takin too many shots!!!~~.(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~i don't give a fuck! fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~(i don't give a fuck i don't give a fuck) fuck it!~let's - fuckin' - lose it!!~~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!~get outta your mind!!~get outta your mind!!~get outta your mind!!~fuck that shit get outta your mind!!
all i really want for christmas, lil jon, oh no no no~(ohh yeaah)~it's that time of year again~kool-aid man you ready for christmas?~(ohh yeah)~~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~~having a party on christmas eve~and i got a whole lot of christmas glee~whole lotta gifts i’d like to receive~and you know all year i been planting them seeds~everybody in here vip~old saint nick that's the mc~gotta see him turnt on some old cd's~playin' all your favorite songs from a to z~~feliz navidad~no eggnog more kool-aid (oh yeah yeah)~~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~~under the mistletoe i got it made~red cup cherry limeade~so much food it's like a buffet~i got next i'm the king of spades (oh yeah)~ silly~tryna do that dance like milly~ when i wear my grilly~build a snowman ah so chilly (chilly chilly)~~feliz navidad~no eggnog more kool-aid (oh yeah yeah)~~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~~oh oh yeah~oh oh yeah~oh oh oh oh yeah~oh oh yeah~oh yeah oh yeah~oh oh oh oh oh yeah~yeah~~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~all i really want really want for christmas~all i really want really want for christmas~all i really want really want for christmas~is everything on my list baby hey...~~oh oh yeah~oh oh yeah~oh oh oh oh yeah~oh oh yeah~oh yeah oh yeah~oh oh oh oh oh yeah~yeah
work, lil jon, yeah its lil jon again yeah!!!~this is for the ladies like to dance~hol up oh no no~these ladies like to work~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~go work~go work~go work~go work~yeah ladies it's time to work~if you didn't come here to sweat~you need to leave right now~work ladies if you wanna work it out~i need to see your hands up~let's go let's go~left to right move your body to the base~left to right move your body to the base~up and down hop your body to the sound~up and down hop your body to the sound~left right left right~up down up down~show me what you got make your body tick tack~show me what you got make your body tick tack~then get to me right put an arch in your back~then get to me right pun an arch in your back~tick tack tick tack~arch your back arch your back~let's go let's work~let's go let's work~let's go let's work~let's go let's work~let's go let's work~let's go let's work~let's go let's work your body~work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~go work~go work~go work~go work~i know y'all not over that acting lot you tired?~you thought you was working hard~no you're not working yet~now it's really time to work~are you ready?~work your body work those hips~work your body work those hips~work your body work those hips~work your body work those hips~go work~go work~go work~go work~let's go let's work~let's go let's work~let's go let's work~let's go let's work~let's go let's work~let's go let's work~zumba!!!
pull up, lil jon, tune tune tune tune (body body body body)~~yeah i got stacks so i pull em~lamborghini four kid das how i get up~pop a champagne just how i pull up~got statements in the bank still we up~meet us at the mall you see we pull up~been out is what it is to my trunk full up~even the eight oh eight when when i pull up~just how i pull up just how i pull up~~they say yeah! (yeah!) when i pull up~i got 20 goons wit me throwin they hood up~bitch move like luda~or have your fuckin shoes dealt in the sewea~bitch i'm the king call me the rula~bank account ya'll give a~catch it grew up~we gettin money yeah that gudda~and we still ain't takin hoes ova through there~we over seas smokin hookah~while you ridin round tryin to get that hooka~yo ho run out~we on through ya~leave yo pussy nigga stuff straight shook up
rep yo click, lil jon, special wear got it made ‘cause we super paid~maybach outside that’s a super ride~cause of homicide hit y'all with the super gauge~they ride our way ‘cause we superfly~i’m ‘bout to raise the prices i swear to god~roc y'all know how we ride~bangladesh cyhi lil jon~let's go~~what the fuck bitch~rep your mother fucking click hey~what the fuck bitch~rep your mother fucking click hey~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit~~i'm on the streets of north philly tryna get me some smoker~the hood filled with them vultures that’s why i roll with the semi you know my repertoire get the words from dakota my man~dacota dacia give my respect to beanie~get cut get shaved give a cut to beanie~half the hood wanna merk me the other half wanna be~the boss i floss if a boy run up on 'em~put some flowers up on ‘em and send ‘em straight to the coroner~say bruh i'm tourin' while ya'll niggas in the way bruh~sold a lot of yola emperor hova down the way bruh~trappin’ on the corner motorola and the pay phone~now it’s multi-millionaire neighbours where i stay bruh~yeah i’m eating but i’m starving got a tapeworm~pray that my name in your mouth fuck up your taste buds~took me to the nation and they showed me where the safe was~no hesitation always repping where i stay bruh~~what the fuck bitch rep your mother fucking click hey~what the fuck bitch rep your mother fucking click hey~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit~~cyhi i’m a eastside boy~we rather meet up before we let the beef slide boy~ha had a caprice on ~back when they used to ask me what i sell a 3.5 for~i’m from atlanta don’t ask me what i’m wearing fila’s for~i’m with a magic city and a v live whore~pull up in the chevy bought the t-top ford~drive by’s is the only time that we drive fours~my niggas in the club doin’ sign language~wrinkled faces with the bracelet let the iron ~plus i got more hoes than the fire station~violate it it's a ticket on your head that’s a citation~~let’s go what the fuck bitch rep your mother fucking click hey~what the fuck bitch rep your mother fucking click hey~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit~what the fuck bitch rep your mother fucking click hey~what the fuck bitch rep your mother fucking click hey~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit (fuck 'em)~fuck them pussy niggas that ain't repping they shit
