holy grail, jay-z, you'd take the clothes off my back and i'd let you~you'd steal the food right out my mouth~and i'd watch you eat it~i still don’t know why why our love is so much ohh~(thanks for warnin' me thanks for warnin' me)~you curse my name in spite to put me to shame~hang my laundry in the streets dirty or clean~give it up for fame~but i still don't know why why i love it so much~(thanks for warnin' me thanks for warnin' me)~~and baby it's amazin' i'm in this maze with you~i just can't crack your code~one day you screamin' you love me loud~the next day you're so cold~one day you're here one day you're there one day you care~you're so unfair~sippin' from your cup 'til it runneth over~holy grail~~uh uh uh~blue told me remind you niggas uh~fuck that shit y'all talking 'bout i'm the nigga uh~caught up in all these lights and cameras uh~but look what that shit did to hammer uh~goddamn it i like it~bright lights is enticin' but look what it did to tyson~all that money in one night thirty mil' for one fight~but soon as all the money blows all the pigeons take flight~fuck the fame keep cheatin' on me~what i do? i took her back~fool me twice; that's my bad i can't even blame her for that~enough to make me wanna murder~momma please just get my bail~i know nobody to blame; kurt cobain i did it to myself uh~~and we all just entertainers~and we're stupid and contagious~and we all just entertainers~~and baby it's amazin' i'm in this maze with you~i just can't crack your code~one day you screamin' you love me loud~the next day you're so cold~one day you're here one day you're there one day you care~you're so unfair~sippin' from your cup 'til it runneth over~holy grail~~now i got tattoos on my body~psycho bitches in my lobby~i got haters in the paper photo shoots with paparazzi~can't even take my daughter for a walk~see 'em by the corner store~i feel like i'm cornered off~enough is enough i'm callin' this off~who the fuck i'm kiddin' though?~i'm gettin' high sittin' low~slidin' by in that big body curtains all in my window~this fame hurt but this chain worse~i think back you asked the same person~if this is all you had to deal with~nigga deal with this shit ain't work~this light work camera snappin' my eyes hurt~niggas dying back where i was birthed~fuck your iris and the irs~get the hell up off your high horse~you got the shit that niggas die for dry yours~why you mad? take the good with the bad~or throw the baby out with that bath water~~you still alive still that nigga~nigga you survived you still gettin' bigger~nigga living the life vanilla wafers in a villa~illest nigga alive; michael jackson's thriller~~and baby it's amazin' i'm in this maze with you~i just can't crack your code~one day you screamin' you love me loud~the next day you're so cold~one day you're here one day you're there one day you care~you're so unfair~sippin' from your cup 'til it runneth over~holy grail~~you get the air out my lungs whenever you need it~and you take the blade right out my heart~just so you can watch me bleed~and i still don't know why why i love you so much yeah~(thanks for warnin' me thanks for warnin' me)~and you play this game in spite to drive me insane~i got it tattooed on my sleeve~forever in ink with guess whose name~but i still don't know why why our love is so much yeah~(thanks for warnin' me thanks for warnin' me)~~and baby it's amazin' i'm in this maze with you~i just can't crack your code~one day you screamin' you love me loud~the next day you're so cold~one day you're here one day you're there one day you care~you're so unfair~sippin' from your cup 'til it runneth over~holy grail
part ii (on the run), jay-z, who wants that perfect love story anyway anyway?~cliché cliché cliché cliché~who wants that hero love that saves the day anyway?~cliché cliché cliché cliché~what about the bad guy goes good yeah?~an innocent love i'm misunderstood yeah?~black hour glass our glass~toast to clichés in a dark past~toast to clichés in a dark past~~boy meets girl girl perfect woman~girl get to bustin' before the cops come running~chuck the deuces chugging d'ussé ugh~fuck what you say boys in blue say~~i don't care if we on the run~baby as long i'm next to you~(uhuu)~and if loving you is a crime~tell me why do i bring out the best in you~why~~i hear sirens while we make love~loud as hell but they don't know~they're nowhere near us~i will hold your heart and your gun~i don't care if they come noooo~i know it's crazy but~~they can take me~now that i found the places that you~take me~without you i got nothing to lose~~i'm an outlaw got an outlaw chick~bumping 2pac on my outlaw shit~matching tats this ink don't come off~even if rings come off if things ring off~my nails get dirty my past ain't pretty~my lady is my mercedes is~my baby momma harder than a lot of you niggas~keep it 100 hit the lottery niggas~you ain't about that life ain't gotta lie to me nigga~you know it's till the death i hope it's obvi to niggas~ugh~cross the line speak about mine~i'ma wave this tec i'm a geek about mine~touch a nigga where his rib at i click clack~push your mothafuckin' wig back i did that~i been wilding since a juvi she was a good girl~'til she knew me now she is in the drop bustin' uey's screaming~~they can take me~now that i found the places that you~take me~without you i got nothing to lose~~deeper than words beyond right~die for your love beyond life~sweet as a jesus piece beyond ice~blind me baby with your neon lights~ray bans on police in sight~oh what a beautiful death let's both wear white~if you go to heaven and they bring me to hell~just sneak out and meet me bring a box of l's~she fell in love with the bad guy the bad guy~what you doing with them rap guys them rap guys~they ain't see potential in me girl but you see it~if it's me and you against the world then so be it~~i don't care if they give me life~i get all of my life from you~(uhuu)~and if loving you had a price~i would pay my life for you~~i hear sirens while we make love~loud as hell but they don't know~they're nowhere near us~i will hold your heart and your gun~i don't care if they come noooo~i know it's crazy but~~i don't care i'll never give it up~give it up give it up give it all away~no i swear i'll never give it up~give it up give it up give it all away~i don't care i'll never give it up~give it up give it up give it all away~no i swear i'll never give it up~give it up give it up give it all away~(without you i got nothing to lose)
the story of o.j., jay-z, skin is skin is~skin black my skin is black~my black my skin is yellow~~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga~i like that second one~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga~~o.j. like i'm not black i'm o.j. …okay~~house nigga don't fuck with me~i'm a field nigga go shine cutlery~go play the quarters where the butlers be~i'ma play the corners where the hustlers be~i told him please don't die over the neighborhood~that your mama rentin'~take your drug money and buy the neighborhood~that's how you rinse it~i bought every v12 engine~wish i could take it back to the beginnin'~i coulda bought a place in dumbo before it was dumbo~for like 2 million~that same building today is worth 25 million~guess how i'm feelin'? dumbo~~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga~~you wanna know what's more important than throwin' away money at a strip club? credit~you ever wonder why jewish people own all the property in america? this how they did it~~financial freedom my only hope~fuck livin' rich and dyin' broke~i bought some artwork for one million~two years later that shit worth two million~few years later that shit worth eight million~i can't wait to give this shit to my children~y'all think it's bougie i'm like it's fine~but i'm tryin' to give you a million dollars worth of game for $9.99~i turned that 2 to a 4 4 to an 8~i turned my life into a nice first week release date~y'all out here still takin' advances huh?~me and my niggas takin' real chances uh~y'all on the 'gram holdin' money to your ear~there's a disconnect we don't call that money over here yeah~~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga~light nigga dark nigga faux nigga real nigga~rich nigga poor nigga house nigga field nigga~still nigga still nigga
tom ford, jay-z, clap for a nigga with his rapping ass~blow a stack for your niggas with your trapping ass~clap for a nigga with his rapping ass~blow a stack for your niggas with your trapping ass~~tom ford~tom ford~tom ford~~coming up coming down~riding clean fix your hair in my crown~bad bitch h town~keep it trill y'all know y'all can't fuck around~~paris where we been pard' my parisian~it's hov time in no time it's fuck-all-y'all season~piss bordeaux and burgundies flush out a riesling~when hov's out them hoes out y'all put y'all weaves in and~clap for a nigga with his rapping ass~blow a stack for your niggas with your trapping ass~spent all my euros on tuxes and weird clothes~i party with weirdos yeah hov yeah hov~~i don't pop molly i rock tom ford~international bring back the concorde~numbers don't lie check the scoreboard~tom ford~tom ford~tom ford~~hands down got the best flow sound i'm so special~sound boy burial this my wayne perry flow~y'all know nothing 'bout wayne perry though~district of columbia guns on y'all tumblrs~fuck hashtags and retweets nigga~140 characters in these streets nigga~pardon my laughing y'all only flagging on beats nigga~pardon my laughing i happen to think you sweet~~i don't pop molly i rock tom ford~international bring back the concorde~numbers don't lie check the scoreboard~tom ford~tom ford~tom ford~~oh man so throwed~~coming up coming down~riding clean fix your hair in my crown~bad bitch h town~keep it trill y'all know y'all can't fuck around~~hold up~i don't pop molly i rock tom ford
4:44, jay-z, do i find it so hard~when i know in my heart~i'm letting you down every day~letting you down every day~why do i keep on running away?~~look i apologize often womanize~took for my child to be born see through a woman's eyes~took for these natural twins to believe in miracles~took me too long for this song i don't deserve you~i harassed you out in paris~please come back to rome you make it home~we talked for hours when you were on tour~“please pick up the phone pick up the phone!”~i said: “don't embarrass me” instead of “be mine”~that was my proposal for us to go steady~that was your 21st birthday~you matured faster than me i wasn't ready~so i apologize~i seen the innocence leave your eyes~i still mourn this death and~i apologize for all the stillborns 'cause i wasn't present~your body wouldn't accept it~i apologize to all the women whom i toyed with your emotions~'cause i was emotionless~and i apologize 'cause at your best you are love~and because i fall short of what i say i'm all about~your eyes leave with the soul that your body once housed~and you stare blankly into space~thinkin' of all the time you wasted it on all this basic shit~so i apologize~~i'm never gonna treat you~i'm never gonna treat you like i should~ohhhhhh~~i apologize our love was one for the ages and i contained us~and all this ratchet shit and we more expansive~not meant to cry and die alone in these mansions~or sleep with our back turned~we supposed to vacay 'til our backs burn~we're supposed to laugh 'til our heart stops~and then meet in a space where the dark stop~and let love light the way~like the men before me i cut off my nose to spite my face~i never wanted another woman to know~something about me that you didn't know~i promised i cried i couldn't hold~i suck at love i think i need a do-over~i will be emotionally available if i invited you over~i stew over what if you over my shit?~~i'm never gonna treat you~i'm never gonna treat you like i should~ohhhhhh~~and if my children knew~i don't even know what i would do~if they ain't look at me the same~i would prob'ly die with all the shame~you did what with who?~what good is a ménage à trois when you have a soulmate?~you risked that for blue?~if i wasn't a superhero in your face~my heart breaks for the day i have to explain my mistakes~and the mask goes away and santa claus is fake~and you go online and see~for blue's tooth the tooth fairy didn't pay~~i'm never gonna treat you like i should
fuckwithmeyouknowigotit, jay-z, a little over a year ago i was in bondage. and now i'm back out here reaping the blessings and getting the benefits that go along with it. everything that's out here for kings like us. the reason why we like this—this jewelry and this diamonds and stuff—they don't understand it's because we really from africa. and that's where all this stuff come from. and we originated from kings you know what i'm saying? so don't look down on the youngsters because they wanna have shiny things. it's in our genes know what i'm saying? we just don't all know our history so…~~fuck with me you know i got it~fuck with me you know i got it~sexy bitch i hope she 'bout it~come fuck with me you know i got it~fuck with me you know i got it~fuck with me you know i got it~sexy bitch i hope she 'bout it~come fuck with me you know i got it~~i just landed in europe nigga~shoppin' bags i'm a tourist nigga~money talk i speak fluent nigga~reeboks on i just do it nigga~look at me i'm pure nigga~i bet the hoes on my tour nigga~i don't bop i do the money dance~my bitch whip cost a hundred grand~~red vert you see me slide~sexy bitch i hope she 'bout it~sexy bitch i know she 'bout it~fuck with me you know i got it~~fuck with me you know i got it~fuck with me you know i got it~sexy bitch i hope she 'bout it~come fuck with me you know i got it~fuck with me you know i got it~fuck with me you know i got it~sexy bitch i hope she 'bout it~come fuck with me you know i got it~~hov just landed in rome nigga~all hail caesar's home niggas~cent'anni ciao bella~come money dance with the good fellas~hov keep gettin' that dinero got it~even if a nigga gotta rob it get it?~black jack in a casino~a nigga got unlimited credit~a nigga got a lot of vendettas~but we the black mob we gonna set it~peel off in a lamborghini countach~200 in the dash we gonna rev it (skirt)~lucky luciano is what they call me paesano~a 100 keys at the piano~plays across the verrazano~el padrino in the villa in venice sippin' vino~not bad for a mulignan~y'all know like we know i got it~~fuck with me you know i got it~fuck with me you know i got it~bad bitch i hope she 'bout it~fuck with me you know i got it~fuck with me you know i got it~fuck with me you know i got it~bad bitch i hope she 'bout it~bad bitch i know she 'bout it~~i'm ridin' big comin' down that beach~geechi niggas with satin sheets~bad bitch she a masterpiece~got a bad bitch she a master; peace
empire state of mind, jay-z, yeah~~yeah i'm out that brooklyn now i'm down in tribeca~right next to de niro but i'll be hood forever~i'm the new sinatra and since i made it here~i can make it anywhere yeah they love me everywhere~i used to cop in harlem – hola my dominicanos~right there up on broadway brought me back to that mcdonald's~took it to my stash spot 560 state street~catch me in the kitchen like a simmons whippin' pastry~cruisin' down 8th street off-white lexus~drivin' so slow but bk is from texas~me? i'm out that bed-stuy home of that boy biggie~now i live on billboard and i brought my boys with me~say what up to ty ty still sippin' mai tais~sittin' courtside knicks and nets give me high fives~nigga i be spiked out i could trip a referee~tell by my attitude that i'm most definitely from…~~in new york (ayy aha) (uh yeah)~concrete jungle (yeah) where dreams are made of~there's nothin' you can't do (yeah) (okay)~now you're in new york (aha aha aha) (uh yeah)~these streets will make you feel brand-new (new)~big lights will inspire you (come on) (okay)~let's hear it for new york (you're welcome og) (come on)~new york (yeah) new york (uh) (i made you hot nigga)~~catch me at the x with og at a yankee game~shit i made the yankee hat more famous than a yankee can~you should know i bleed blue but i ain't a crip though~but i got a gang of niggas walkin' with my clique though~welcome to the meltin' pot corners where we sellin' rocks~afrika bambaataa shit home of the hip-hop~yellow cab gypsy cab dollar cab holla back~for foreigners it ain't fair they act like they forgot how to add~eight million stories out there in the naked~city it's a pity half of y'all won't make it~me? i gotta plug special ed i got it made~if jeezy's payin' lebron i'm payin' dwyane wade~three dice cee lo three card monte~labor day parade – rest in peace bob marley~statue of liberty long live the world trade~long live the king yo – i'm from the empire state that's…~~in new york (ayy) (uh yeah)~concrete jungle where dreams are made of~there's nothin' you can't do (that boy good) (okay)~now you're in new york (uh yeah)~(welcome to the bright light baby)~these streets will make you feel brand-new~big lights will inspire you (okay)~let's hear it for new york (come on)~new york (yeah) new york (uh)~~lights is blinding girls need blinders~so they can step out of bounds quick the side lines is~lined with casualties who sip the life casually~then gradually become worse – don't bite the apple eve!~caught up in the in-crowd now you're in-style~and when winter gets cold en vogue with your skin out~the city of sin is a pity on a whim~good girls gone bad the city's filled with them~mami took a bus trip  now she got her bust out~everybody ride her just like a bus route~hail mary to the city you're a virgin~and jesus can't save you life starts when the church ends~came here for school graduated to the high life~ball players rap stars addicted to the limelight~mdma got you feelin' like a champion~the city never sleeps better slip you a ambien~~in new york (ayy ah) (uh yeah)~concrete jungle where dreams are made of~there's nothin' you can't do (okay)~now you're in new york (uh yeah)~these streets will make you feel brand-new~big lights will inspire you (okay)~let's hear it for new york (come on)~new york (yeah) new york (uh)~~one hand in the air for the big city~street lights big dreams all lookin' pretty~no place in the world that could compare~put your lighters in the air everybody say yeah (come on)~(come on) yeah (come on)~~in new york (uh yeah)~concrete jungle where dreams are made of~there's nothin' you can't do (okay)~now you're in new york (uh yeah)~these streets will make you feel brand-new~big lights will inspire you (okay)~let's hear it for new york (come on)~new york (yeah) new york (uh)
oceans, jay-z, (you see this motherfucking face)~blessings blessings yeah i see..~~elephant tusk on the bow of a sailing lady docked on the ivory coast~mercedes in a row winding down the road~i hope my black skin don't dirt this white tuxedo before the basquiat show~and if so well fuck it fuck it~because this water drown my family this water mixed my blood~this water tells my story this water knows it all~go ahead and spill some champagne in the water~go ahead and watch the sun blaze on the waves of the ocean~~dope boy still smelling like cocaina~white boat white robe can he be more cleaner?~the oil spill that bp ain't clean up~i'm anti-santa maria~only christopher we acknowledge is wallace~i don't even like washingtons in my pocket~black card go hard when i'm shopping~boat docked in front of hermès picking cotton~silk and fleeces lay on my jesus~oh my god i hope y'all don't get seasick~see me in shit you never saw~if it wasn't for these pictures they wouldn't see me at all~aww whole world's in awe~i crash through glass ceilings i break through closed doors~i'm on the ocean i'm in heaven~yachting ocean 11~~elephant tusk on the bow of a sailing lady docked on the ivory coast~mercedes in a row winding down the road~i hope my black skin don't dirt this white tuxedo before the basquiat show~and if so well fuck it fuck it~because this water drown my family this water mixed my blood~this water tells my story this water knows it all~go ahead and spill some champagne in the water~go ahead and watch the sun blaze on the waves of the ocean~~me and ty ty is like pablo and popeye~winding dirt roads on mopeds spilling opus~welcome to the magnum opus the magna carta~the best-selling author decoded~on the holiday playin' strange fruit~if i'ma make it to a billi i can't take the same route~swoosh that's the sound of the border~swoosh and that's the sound of a baller~muhammad hovi my back against the rope~the black maybach i'm back inside the boat~shepard fairey they finally gave me some hope~can't believe they got a nigga to vote~democrat? nope i sold dope~in trouble waters i had to learn how to float~on the ocean i'm in heaven~yachting ocean 11~~elephant tusk on the bow of a sailing lady docked on the ivory coast~mercedes in a row winding down the road~i hope my black skin don't dirt this white tuxedo before the basquiat show~and if so well fuck it fuck it~because this water drown my family this water mixed my blood~this water tells my story this water knows it all~go ahead and spill some champagne in the water~go ahead and watch the sun blaze on the waves of the ocean
99 problems, jay-z, if you're havin' girl problems i feel bad for you son~i got 99 problems but a bitch ain't one~~i've got the rap patrol on the gat patrol~foes that wanna make sure my casket's closed~rap critics that say he's money cash hoes~i'm from the hood stupid! what type of facts are those?~if you grew up with holes in your zapatos~you'd celebrate the minute you was havin' dough~i'm like fuck critics you can kiss my whole asshole!~if you don't like my lyrics you can press fast forward.~got beef with radio if i don't play they show~they don't play my hits well i don't give a shit so~rap mags try and use my black ass~so advertisers can give 'em more cash for ads~fuckers i don't know what you take me as~or understand the intelligence that jay z has~i'm from rags to riches niggas i ain't dumb~i got 99 problems but a bitch ain't one – hit me!~~99 problems but a bitch ain't one~if you're havin' girl problems i feel bad for you son~i got 99 problems but a bitch ain't one – hit me!~~the year is '94 in my trunk is raw~in my rearview mirror is the motherfuckin' law~got two choices y'all: pull over the car or~bounce on the devil put the pedal to the floor~and i ain't tryin' to see no highway chase with jake~plus i got a few dollars i can fight the case~so i pull over to the side of the road~i heard son do you know why i'm stopping you for?~‘cause i'm young and i'm black and my hat's real low?~do i look like a mind reader sir? i don't know~am i under arrest or should i guess some more?~well you was doing 55 in a 54~license and registration and step out of the car~are you carrying a weapon on you? i know a lot of you are.~i ain't steppin' out of shit all my paper's legit~well do you mind if i look around the car a little bit?~well my glove compartment is locked so is the trunk in the back~and i know my rights so you gon' need a warrant for that~aren't you sharp as a tack?~you some type of lawyer or something?~somebody important or something?~well i ain't passed the bar but i know a little bit~enough that you won't illegally search my shit~well we'll see how smart you are when the k9 come!~i got 99 problems but a bitch ain't one – hit me!~~99 problems but a bitch ain't one~if you're havin' girl problems i feel bad for you son~i got 99 problems but a bitch ain't one – hit me!~99 problems but a bitch ain't one~if you're havin' girl problems i feel bad for you son~i got 99 problems but a bitch ain't one~~now once upon a time not too long ago~a nigga like myself had to strong-arm a ho~this is not a ho in the sense of havin' a pussy~but a pussy havin' no goddamn sense try and push me~i try to ignore him talk to the lord~pray for him but some fools just love to perform~you know the type loud as a motorbike~but wouldn't bust a grape in a fruit fight~and only thing that's gon' happen is i'ma get to clappin'~and he and his boys gonna be yappin' to the captain~and there i go trapped in the kit-kat again~back through the system with the riff-raff again~fiends on the floor scratchin' again~paparazzis with they cameras snappin' em~d.a. try to give a nigga shaft again~half a mil' for bail ‘cause i'm african~all because this fool was harassin' them~tryin' to play the boy like he's saccharine~but ain't nothin' sweet 'bout how i hold my gun~i got 99 problems bein' a bitch ain't one – hit me!~~99 problems but a bitch ain't one~if you're havin' girl problems i feel bad for you son~i got 99 problems but a bitch ain't one – hit me!~~you crazy for this one rick~it's your boy
picasso baby, jay-z, i just want a picasso~in my casa no my castle~i'm a hassa no i'm an asshole~i'm never satisfied can't knock my hustle~i want a rothko no i want a brothel~no i want a wife that fuck me like a prostitute~let's make love on a million~in a dirty hotel with the fan on the ceiling~all for the love of drug dealing~marble floors gold ceilings~oh what a feeling fuck it i want a billion~jeff koons balloons i just wanna blow up~condos in my condos i wanna row of~christie's with my missy live at the moma~bacons and turkey bacons smell the aroma~~oh what a feeling~picasso baby~picasso~picasso baby~oh what a feeling~picasso baby~picasso~picasso baby~~it ain't hard to tell i'm the new jean michel~surrounded by warhols my whole team ball~twin bugattis outside the art basel~i just wanna live life colossal~leonardo da vinci flows~riccardo tisci givenchy clothes~see me throning at the met~vogueing on these niggas champagne on my breath yes~house like the louvre or the tate modern~cause i be going ape at the auction~oh what a feeling aw fuck it i want a trillion~sleeping every night next to mona lisa~the modern day version with better features~yellow basquiat in my kitchen corner~go 'head lean on that shit blue you own it~~oh what a feeling~picasso baby~picasso~picasso baby~oh what a feeling~picasso baby~picasso~picasso baby~~~woman: et là je t'ai tout donné montré rien à cacher tu es là ivy comme le nombre d'or~jay comment tu dis nombre d'or?~jay-z: the golden number~woman: touché~~i never stuck my cock in the fox's box but~damned if i ain't open pandora's box~they try to slander your man on cnn and fox~my mirandas don't stand a chance with cops~even my old fans like old man just stop~i could if i would but i can't i'm hot~and you blow i'm still the man to watch~hublot on my left hand or not~soon i step out the booth the cameras pops~niggas is cool with it 'til the canons pop~now my hand on the bible on the stand~got your man in a jam again got my hands in cuff~i'm like goddamn enough~i put down the cans and they ran amok~my hairpin pierce skin ruptures spleens~cracks ribs go through cribs and other things~no sympathy for the king huh?~niggas even talk about your baby crazy~eventually the pendulum swings~don't forget america this how you made me~come through with the 'ye mask on~spray everything like samo i won't scratch the lambo~what's it gon take for me to go~for you to see i'm the modern day pablo picasso baby
