smells like teen spirit, nirvana, load up on guns bring your friends it's fun to lose and to pretend she's over-bored and self-assured oh no i know a dirty word  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  yeah hey yay  i'm worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  yeah hey yay   and i forget just why i taste oh yeah i guess it makes me smile i found it hard it's hard to find oh well whatever nevermind  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  a denial a denial a denial a denial a denial a denial a denial a denial a denial
come as you are, nirvana, come as you are as you were as i want you to be as a friend as a friend as a known enemy take your time hurry up choice is yours don't be late take a rest as a friend as an old memoria  memoria memoria memoria  come doused in mud soaked in bleach as i want you to be as a trend as a friend as an old memoria  memoria memoria memoria  and i swear that i don't have a gun no i don't have a gun no i don't have a gun   memoria memoria memoria (no i don't have a gun)  and i swear that i don't have a gun no i don't have a gun no i don't have a gun no i don't have a gun no i don't have a gun  memoria memoria
heart-shaped box, nirvana, she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice  meat-eating orchids forgive no one just yet cut myself on angel hair and baby's breath broken hymen of 'your highness' i'm left black throw down your umbilical noose so i can climb right back  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice  she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice your advice your advice
lithium, nirvana, i'm so happy 'cause today i found my friends they're in my head i'm so ugly that's okay 'cause so are you we broke our mirrors sunday mornin' is everyday for all i care and i'm not scared light my candles in a daze 'cause i've found god  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah  i'm so lonely that's okay i shaved my head and i'm not sad and just maybe i'm to blame for all i've heard but i'm not sure i'm so excited i can't wait to meet you there and i don't care i'm so horny that's okay my will is good  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah!  i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack  i'm so happy 'cause today i found my friends they're in my head i'm so ugly that's okay 'cause so are you we broke our mirrors sunday mornin' is everyday for all i care and i'm not scared light my candles in a daze 'cause i've found god  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah!  i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack
polly, nirvana, polly wants a cracker i think i should get off her first i think she wants some water to put out the blow torch  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself  polly wants a cracker maybe she would like some food she asked me to untie her a chase would be nice for a few  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself  polly said polly says her back hurts she's just as bored as me she caught me off my guard amazes me the will of instinct  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself
where did you sleep last night, nirvana, my girl my girl don't lie to me tell me where did you sleep last night in the pines in the pines where the sun don't ever shine i would shiver the whole night through  my girl my girl where will you go? i'm going where the cold wind blows in the pines in the pines where the sun don't ever shine i would shiver the whole night through  her husband was a hard working man just about a mile from here his head was found in a driving wheel but his body never was found  my girl my girl don't lie to me tell me where did you sleep last night in the pines in the pines where the sun don't ever shine i would shiver the whole night through (shiver the whole night)  my girl my girl where will you go? i'm going where the cold wind blows in the pines in the pines where the sun don't ever shine i would shiver the whole night through  my girl my girl don't lie to me tell me where did you sleep last night in the pines in the pines where the sun don't ever shine i would shiver the whole night through  my girl my girl where will you go? i'm going where the cold wind blows in the pines the pines the sun don't shine i'd shiver... the whole night through (thank you)
in bloom, nirvana, sell the kids for food weather changes moods spring is here again reproductive glands  he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he knows not what it means knows not what it means when i say he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he knows not what it means knows not what it means and i say yeah  we can have some more nature is a whore bruises on the fruit tender age in bloom  he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he don't know what it means don't know what it means when i say he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he knows not what it means knows not what it means and i say yeah   he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he knows not what it means knows not what it means when i say he’s the one who likes all our pretty songs and he likes to sing along and he likes to shoot his gun but he knows not what it means knows not what it means knows not what it means knows not what it means and i say yeah
all apologies, nirvana, what else should i be? all apologies what else could i say? everyone is gay what else could i write? i don't have the right what else should i be? all apologies  in the sun in the sun i feel as one in the sun in the sun married buried  i wish i was like you easily amused find my nest of salt everything is my fault i'll take all the blame aqua seafoam shame sunburn freezer burn choking on the ashes of her enemy  in the sun in the sun i feel as one in the sun in the sun married buried married buried yeah yeah yeah yeah  all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are
the man who sold the world, nirvana, we passed up on the stairs we spoke of was and when although i wasn't there he said i was his friend which came as a surprise i spoke into his eyes i thought you died alone a long long time ago  oh no not me we never lost control you're face to face with the man who sold the world  i laughed and shook his hand and made my way back home i searched for foreign land for years and years i roamed i gazed a gazeless stare we walked a million hills i must have died alone a long long time ago  who knows? not me i never lost control you're face to face with the man who sold the world  who knows? not me we never lost control you're face to face with the man who sold the world
rape me, nirvana, rape me rape me my friend rape me rape me again  i'm not the only one i'm not the only one i'm not the only one i'm not the only one  hate me do it and do it again waste me rape me my friend  i'm not the only one i'm not the only one i'm not the only one i'm not the only one  my favorite inside source i'll kiss your open sores i appreciate your concern you're gonna sink and burn  rape me rape me my friend rape me rape me again  i'm not the only one i'm not the only one i'm not the only one i'm not the only one  rape me! (rape me!) rape me! (rape me!) rape me! (rape me!) rape me! (rape me!) rape me! (rape me!) rape me! (rape me!) rape me! (good!)
