song,artist,lyrics
pour some sugar on me, def leppard, step inside walk this way you and me babe hey hey!  love is like a bomb baby c'mon get it on livin' like a lover with a radar phone lookin' like a tramp like a video vamp demolition woman can i be your man? razzle 'n' a dazzle 'n' a flash a little light television lover baby go all night sometime anytime sugar me sweet little miss ah innocent sugar beat yeah  so c'mon take a bottle shake it up break the bubble break it up  pour some sugar on me ooh in the name of love pour some sugar on me c'mon fire me up pour your sugar on me i can't get enough  i'm hot sticky sweet from my head to my feet yeah  listen! red light yellow light green-a-light go! crazy little woman in a one man show mirror queen mannequine rhythm of love sweet dream saccharine loosen up lucid love you gotta squeeze a little squeeze a little tease a little more easy operator come a knockin' on my door sometime anytime sugar me sweet little miss innocent sugar me yeah yeah give a little more  take a bottle shake it up break the bubble break it up  pour some sugar on me ooh in the name of love pour some sugar on me c'mon fire me up pour your sugar on me i can't get enough  i'm hot sticky sweet from my head to my feet yeah  you got the peaches i got the cream sweet to taste saccharine cause i'm hot say what sticky sweet from my head my head to my feet do you take sugar? one lump or two?  take a bottle shake it up break the bubble break it up  pour some sugar on me ooh in the name of love pour some sugar on me c'mon fire me up pour your sugar on me oh i can't get enough  pour some sugar on me oh in the name of love pour some sugar on me get it come get it pour your sugar on me pour some sugar on me yeah! sugar me!;;;;;;;;;;;;
love bites, def leppard, if you've got love in your sights watch out love bites  when you make love do you look in the mirror? who do you think of does he look like me? do you tell lies? and say that it's forever do you think twice or just touch and see? ooh babe oh yeah when you're alone do you let go? are you wild and willing or is it just for show? ooh come on  i don't want to touch you too much baby 'cause making love to you might drive me crazy i know you think that love is the way you make it so i don't want to be there when you decide to break it no  love bites love bleeds it's bringing me to my knees love lives love dies it's no surprise love begs love pleads it's what i need  when i'm with you are you somewhere else? am i getting through or do you please yourself? when you wake up will you walk out? it can't be love if you throw it about ooh babe  i don't want to touch you too much baby 'cause making love to you might drive me crazy oh  love bites love bleeds it's bringing me to my knees love lives love dies it's no surprise love begs love pleads it's what i need  i don't want to touch you too much baby 'cause making love to you might drive me crazy i know you think that love is the way you make it so i don't want to be there when you decide to break it no  love bites love bleeds it's bringing me to my knees love lives love dies... love bites love bleeds it's bringing me to my knees love lives love dies it's no surprise love begs love pleads it's what i need  if you've got love in your sights watch out love bites;;;;;;;;;;;;
hysteria, def leppard, out of touch out of reach yeah you could try to get closer to me i'm in love i'm in deep yeah hypnotized i'm shaking to my knees  i got to know tonight if you're alone tonight can't stop this feeling can't stop this fire  oh i get hysterical hysteria oh can you feel it do you believe it? it's such a magical mysteria when you get that feeling better start believing because it's a miracle oh say you will ooh babe hysteria when you're near  out of me into you yeah you can hide it's just a one way street oh i believe i'm in you yeah open wide that's right dream me off my feet oh believe in me  i got to know tonight if you're alone tonight can't stop this feeling can't stop this fire  oh i get hysterical hysteria oh can you feel it do you believe it? it's such a magical mysteria when you get that feeling better start believing because it's a miracle oh say you will ooh babe hysteria when you're near  i got to know tonight if you're alone tonight can't stop this feeling can't stop this fire  oh i get hysterical hysteria oh can you feel it do you believe it? it's such a magical mysteria when you get that feeling better start believing because it's a miracle oh say you will ooh babe hysteria when you're near  i get hysterical hysteria when you get that feeling you'd better believe it better start believing because it's a miracle oh say you will oh babe say you will  get closer to me get closer baby baby closer get closer closer to me;;;;;;;;;;;;
rock of ages, def leppard, gunter glieben glauchen globen hm hm hm tsk tsk tsk all right yeah i got something to say yeah it's better to burn out yeah than fade away all right ow gonna start a fire c'mon rise up gather round rock this place to the ground burn it up let's go for broke watch the night go up in smoke rock on rock on drive me crazier no serenade no fire brigade just the pyromania come on (what do ya want) what do ya want (i want rock 'n' roll) yes i do (long live rock 'n' roll) oh let's go let's strike a light we're gonna blow like dynamite i don't care if it takes all night gonna set this town alight c'mon (what do ya want) what do ya want (i want rock 'n' roll) all right (long live rock 'n' roll) oh yeah yeah rock of ages rock of ages still rollin' keep a-rollin' rock of ages rock of ages still rollin' rock 'n' rollin' we got the power got the glory just say you need it and if you need it say yeah oh yeah heh heh heh heh now listen to me i'm burnin' burnin' i got the fever i know for sure there ain't no cure so feel it don't fight it go with the flow and gimme gimme gimme gimme one more for the road yeah (what do ya want) what do ya want (i want rock 'n' roll) you betcha (long live rock 'n' roll) now hit it rock of ages rock of ages still rollin' keep a-rollin' rock of ages rock of ages still rollin' rock 'n' rollin' we got the power got the glory just say you need it and if you need it say yeah say yeah we're gonna burn this damn place down woo-hoo down to the ground heh heh heh heh heh heh heh heh;;;;;;;;;;;;
photograph, def leppard, huh! i'm outa luck outa love gotta photograph picture of passion killer you're too much you're the only one i wanna touch i see your face every time i dream on every page every magazine so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock 'n' roll clown oh oh look what you've done photograph - i don't want your photograph - i don't need your photograph - all i've got is a photograph but it's not enough i'd be your lover if you were there put your hurt on me if you dare such a woman you got style you make every man feel like a child you got some kinda hold on me you're all wrapped up in mystery so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock'n'roll clown oh oh look what you've done  you've gone straight to my head;;;;;;;;;;;;
animal, def leppard, a wild ride over stony ground such a lust for life the circus comes to town we are the hungry ones on a lightning raid just like a river runs like a fire needs flame oh i burn for you  i got to feel it in my blood whoa oh i need your touch don't need your love whoa oh and i want and i need and i lust animal and i want and i need and i lust animal  i cry wolf given mouth to mouth like a moving heartbeat in the witching hour i'm running with the wind a shadow in the dust and like the driving rain hey like the restless rust i never sleep   huh! oh! cry wolf baby cry tough going to hunt you like an uh uh animal going to take your love and run   and i want (and i want) and i need (and i need) and i lust (and i lust) animal (animal) and i want (take me) and i need (tame me) and i lust (make me) animal (your animal) and i want (show me) and i need (stroke me) and i lust (let me be your) animal (animal) and i want (i want) and i need (ooh ooh ooh) and i lust animal (animal);;;;;;;;;;;;
armageddon it, def leppard, you better come inside when you're ready to but no chance if you don't wanna dance you like a four letter words when you're ready to but then you won't 'cause you know that you can you got it but are you getting it? you say that love is won when you get some but then your finger won't trigger the gun  you know you can't stop it so don't rock it you know you got it hey but are you getting it? ooh really getting it? come get it from me  (give me all of your loving) every little bit (give me all that you got) every bit of it (every bit of your loving) oh come on live a bit (never want to stop)  yeah but are you getting it? (armageddon it) ooh really getting it? (yes armageddon it) come on get it yeah do do do uh oh  you try coming on when you need some but then you don't because you already did yeah you jangle your jewels while you're shaking your and drive the pretty boys out of their heads you got it but are you getting it? you flash your bedroom eyes like a jumping jack then play it pretty with a pat on the back    yeah but are you getting it? (armageddon it) ooh really getting it? (yes armageddon it) come on steve get it huh  take it take it take it from me i got an itchy finger following me pull it pull it come on trigger the gun because the best is a yet to come i say (because the best is yet to come)  oh are you getting it? oh really getting it? yes are you getting it? whoa really getting it?  come get it from me (give me all of you loving) every little bit (give me all that you got) every bit of it (every bit of your loving) oh come on live a bit (never want it to stop) oh are you getting it? (give me all of your loving) ooh really getting it? (give me all that you got) oh are you getting it? (give me all of your loving) oh live a bit (give me all that you got) no live a bit you've got to live it (give ne all of your loving) ooh baby live it (give me all that you got) come on and give it (every bit of your loving) oh come on and give it (never want it to stop) oh are you getting it? (give me all of your loving) ooh really getting it? (give me all that you got) oh are you getting it? (every bit of your loving) oh live a bit (never want it to stop) whoa (give me all of your loving);;;;;;;;;;;;
rocket, def leppard, guitar drums  white lights strange city mad music (all around) midnight street magic crazy people (crazy sound) jack flash rocket man sergeant pepper and the band ziggy benny and the jets ah take a rocket  we just gotta fly (i can take you through the center of the dark) we're gonna fly (on a collision course to crash into my heart) i will be your i will be your i will be your (rocket yeah satellite of love) rocket baby come on i'll be your satellite of love  jet black johnny b ah jean genie killer queen dizzy lizzy major tom so come on   we're gonna fly (rocket yeah satellite of love) we're gonna fly (rocket yeah satellite of love) rocket yeah;;;;;;;;;;;;
when love and hate collide, def leppard, you could have a change of heart if you would only change your mind instead of slamming down the phone girl for the hundredth time i got your number on my wall but i ain't gonna make that call when divided we stand baby united we fall  got the time got a chance gonna make it got my hands on your heart gonna take it all i know i can't fight this flame you could have a change of heart if you would only change your mind cause i'm crazy 'bout you baby time after time  without you one night alone is like a year without you baby do you have a heart of stone without you can't stop the hurt inside when love and hate collide  i don't wanna fight no more i don't know what we're fighting for when we treat each other baby like an act of war i could tell a million lies and it would come as no surprise when the truth is like a stranger hits you right between the eyes  there's a time and a place and a reason and i know i got a love to believe in all i know got to win this time  without you one night alone is like a year without you baby do you have a heart of stone without you can't stop the hurt inside when love and hate collide  you could have a change of heart if you would only change your mind cause i'm crazy 'bout you baby...crazy...crazy  without you one night alone is like a year without you baby do you have a heart of stone without you one night alone is like a year without you baby if you have a heart at all without you can't stop the hurt inside when love and hate collide;;;;;;;;;;;;
two steps behind, def leppard, walk away if you want to it's ok if you need to you can run but you can never hide from the shadow that's creeping up beside you there's a magic running through your soul but you can't have it all  (whatever you do) i'll be two steps behind you (wherever you go) and i'll be there to remind you that it only takes a minute of your precious time to turn around and i'll be two steps behind  take the time to think about it walk the line you know you just can't fight it take a look around and see what you can find like the fire that's burning up inside me there's a magic running through your soul but you can't have it all   there's a magic running through your soul but you you can't have it all (whatever you do) i'll be two steps behind you (wherever you go) and i'll be there to remind you that it only takes a minute of your precious time to turn around and i'll be two steps behind two steps behind yeah baby two steps behind ohh sugar two steps behind;;;;;;;;;;;;
foolin', def leppard, lady luck never smiles so lend your love to me awhile do with me what you will break the spell take your fill on and on we rode the storm the flame has died and the fire has gone oh this empty bed is a night alone i realized that long ago  is anybody out there anybody there? does anybody wonder anybody care? oh i just got to know if you're really there and you really care because baby i'm not fooling ah fooling fooling ah fooling won't you stay with me awhile?  close your eyes don't run and hide easy love is no easy ride just waking up from what we had could stop good love from going bad   i'm not fooling myself i'm not fooling myself i'm not fooling myself i'm not fooling myself;;;;;;;;;;;;
bringin' on the heartbreak, def leppard, gypsy sittin' looking pretty a broken rose with laughin' eyes you're a mystery always runnin' wild like a child without a home you're always searchin' searchin' for a feeling but it's easy come and easy go oh i'm sorry but it's true you're bringin' on the heartache takin' all the best if me oh can't you see? you got the best of me oh can't you see? you're bringin' on the heartbreak bringin' on the heartache you're bringin' on the heartbreak bringin' on the heartache can't you see? you're such a secret misty eyed and shady lady how you hold the key oh you're like a candle your flame slowly fadin' burnin' out and burnin' me can't you see just tryin' to say to you you're bringin' on the heartache takin' all the best of me oh can't you see? you got the best of me oh can't you see? you're bringin' on the heartbreak bringin' on the heartache you're bringin' on the heartbreak bringin' on the heartache can't you see can't you see no! no! no! you got the best of me oh can't you see? you got the best of me oh can't you see? you're bringin' on the heartbreak bringin' on the heartache you're bringin' on the heartbreak bringin' on the heartache you're bringin' on the heartbreak bringinn' on the heartache you're bringin' on the heartbreak;;;;;;;;;;;;
women, def leppard, in the beginning god made the land then he made the water and creatures then he made man he was born with a passion love and hate a restless spirit with a need for a mate but there was something missing something lost so he came with the answer here's what it cost one part love one part wild one part lady one part child  i give you (women women) lots of pretty women (men men) they can't live without them (women women) lots of pretty women (men men) they can't live without them  and in the garden lust began the animal instinct the wanton man she fed him with a hunger an appetite and filling with emotion he took a bite it was one part love one part child one part lover one part wild   skin on skin let the love begin women  it was one part love one part wild one part lover one part child a whole lot of fire a little bit of ice a whole lot of something you can't sacrifice  (i give you) hair eyes skin on skin (legs) legs (thighs) thighs what's that spell? (spell what's that spell?) (what's that spell?) what's that spell? (what's that spell?) (women women) oh oh oh oh oh oh (women) women (women) calling every girl (women women) all around the world (women) women (women) oh we can't live without them (women) women;;;;;;;;;;;;
let's get rocked, def leppard, do you wanna get rocked? let's get let's get let's get let's get rocked  i'm your average ordinary everyday kid happy to do nothing in fact that's what i did i got a million ways to make my day but daddy don't agree because when i try to get away he says he got plans for me get your butt right out of bed stop bugging me get up and move your sleepy head don't shake my tree he said mow the lawn who me? walk the dog not my style man take out the trash no way tidy your room come on get real sorry dad got to disappear let's get the rock out of here  seven day weekend up all night in at the deep end hang on tight it won't take a minute it won't take long so get on in it come on come on come on  let's get let's get let's get let's get rocked let's get let's get let's get let's get rocked let's go all the way get it night and day come on let's get let's get let's get let's get rocked  i'm your average ordinary everyday dude driving with my baby to get her in the mood she's dialing through my radio and i'm ready to make my move what she got ain't rock 'n' roll and it really blew my groove it was chopin mozart beethoven it makes me want to scream bach tchaikovsky violins turn it off that ain't my scene well i'm sorry girl here's my confession i suppose a rock's out of the question  seven day weekend up all night in at the deep end hang on tight it won't take a minute it won't take long so get on in it come on come on come on  let's get let's get let's get let's get rocked let's get let's get let's get let's get rocked let's go all the way get it night and day come on let's get let's get let's get let's get rocked  hey all i want to do is take a ride into the blue every time i want to love you i get stuck inside my room heaven knows i'm sick and tired of dancing with this broom i feel lucky today hey look at that man do you want to get rocked? do you want to get rocked? ho it won't take you a minute it won't take that long so get on get with it oh come on everybody  let's get let's get let's get let's get rocked get on top baby let's get let's get let's get let's get rocked do you wanna do you wanna? let's get let's get let's get let's get rocked get on top of it let's get let's get let's get let's get rocked love to rock your body baby let's get let's get let's get let's get rocked let's go all the way get it night and day let's get out and play rock the night away come on let's get let's get let's get let's get rocked  do you want to get rocked?;;;;;;;;;;;;
too late for love, def leppard, somewhere in the distance i hear the bells ring darkness settles on the town as the children start to sing and the lady across the street she shuts out the night there's a cast of thousands waiting as she turns out the light  but it's too late too late too late too late for love too late too late too late too late  london boys are gazing girls go hand in hand with a pocket full of innocence their entrance is grand and the queen of the dream stands before them all she stretches out her hand as the curtains start to fall  standing by the trapdoor aware of me and you are the actor and the clown they're waiting for their cue and there's a lady over there she's acting pretty cool but when it comes to playing life she always plays the fool   is it all too late? much too late? can't you see it's all too late? yeah it's too late;;;;;;;;;;;;
have you ever needed someone so bad, def leppard, here i am i'm in the wrong bed again it's a game i just can't win there you are breathing soft on my skin yeah still you won't let me in so come on  why save your kisses for a rainy day baby let the moment take your heart away  have you ever needed someone so bad yeah have you ever wanted someone you just couldn't have did you ever try so hard that your world just fell apart have you ever needed someone so bad  and you're the girl i got to have i got to have you baby yeah there you go midnight promises again yeah but they're broken by the dawn you want to go further faster everyday baby but in the morning you'll be gone and i'm alone    every dream i dream is like some kinda rash and reckless scene to give out such crazy love you must be some kind of drug and if my time don't ever come for me you're still the one damned if i don't damned if i do i got to get a fix on you   and you're the girl i got to have i got to have you baby yeah it's a game i just can't win oh;;;;;;;;;;;;
love and affection, def leppard, you got the fire baby i got the heat can you handle it? i got the time baby you got the need oh surrender it  oh it's a passion crime with a danger sign oh can you handle it? you're just another girl i'm just another man it's just another night don't give me love and affection or what you think it should be don't give me love the wrong reason yeah it won't matter to me  i got the heart baby you got the beat take a chance on me we got the night baby we got the dream oh imagine it   i don't need your understanding oh babe can't you understand me? come on try it and see  oh it's a passion play in a different way oh can you handle it? yeah you're just another girl i'm just another man it's just another night don't give me love and affection or what you think it should be don't give me love the wrong reason yeah it won't matter to me  i don't need your understanding oh babe can't you understand me? i don't need it (i don't need) don't need your heart (i don't need) no understanding (i don't need) no affection don't need your love don't give me love and affection don't give me love give me what you got i don't need it i don't need it i don't need your understanding;;;;;;;;;;;;
gods of war, def leppard, feeling like it's all over feeling like there's no love feeling like it's not easy breathing life in the dust  on a countdown to zero take a ride on the nightmare machine there ain't going to be heroes there ain't going to be anything oh  here it comes here comes the night here it comes hell in the night here it comes here comes the night  when we all fall down when we walk into silence when we shadow the sun when we surrender to violence oh then the damage is done put away that gun i don't want to be there i don't want to be anywhere oh   we're fighting for the gods of war but what the hell we fighting for? we're fighting with the gods of war but i'm a rebel and i ain't going to fight no more no way    we're fighting for the gods of war but what the hell we fighting for? we're fighting with the gods of war and i ain't going to fight no more (stop)  stop fighting for the gods of war (stop fighting for the gods of war) yeah what the hell we fighting for? (what in the hell we fighting for?) we're fighting with the gods of war heavy!;;;;;;;;;;;;
we all need christmas, def leppard, so here's to you and all you do let's raise a glass to all that's past and to the future long may it last ohh let it last and may the light shine on you and trust your hopes to see it through forever after let it be true for me and you  we all need christmas we all need someone to need open your heart and let love breathe this christmas  so say a prayer to light the day for those we've lost along the way they may be gone but they still remain in our hearts in our name  we all need christmas we all need someone to need open your heart and let love breathe we all need christmas we all need love to succeed follow your heart and let love lead this christmas   we all need christmas we all need someone to need open your heart and let love breathe we all need christmas we all need love to succeed follow your heart and let love lead this christmas;;;;;;;;;;;;
