most people are good, luke bryan, i believe kids oughta stay kids as long as they can turn off the screen go climb a tree get dirt on their hands i believe we gotta forgive and make amends 'cause nobody gets a second chance to make new old friends i believe in working hard for what you've got even if it don't add up to a hell of a loti believe most people are good and most mamas oughta qualify for sainthood i believe most friday nights look better under neon or stadium lights i believe you love who you love ain't nothing you should ever be ashamed of i believe this world ain't half as bad as it looks i believe most people are goodi believe them streets of gold are worth the work but i'd still wanna go even if they were paved in dirt i believe that youth is spent well on the young 'cause wisdom in your teens would be a lot less fun i believe if you just go by the nightly news your faith in all mankind would be the first thing you losei believe most people are good and most mamas oughta qualify for sainthood i believe most friday nights look better under neon or stadium lights i believe you love who you love ain't nothing you should ever be ashamed of i believe this world ain't half as bad as it looks i believe most people are goodi believe that days go slow and years go fast and every breath's a gift the first one to the lasti believe most people are good and most mamas oughta qualify for sainthood i believe most friday nights look better under neon or stadium lights i believe you love who you love ain't nothing you should ever be ashamed of i believe this world ain't half as bad as it looks i believe most people are goodi believe most people are good i believe most people are good,country
that's my kind of night, luke bryan, i got that real good feel good stuff up under the seat of my big black jacked up truck rollin' on 35's pretty girl by my side you got that sun tan skirt and boots waiting on you to look my way and scoot your little hot self over here girl hand me another beer yeahall them other boys want to wine you up and take you downtown but you look like the kind that likes to take it way out out where the corn rows grow row row my boat floatin’ down the flint river catch us up a little catfish dinner going to sound like a winner when i lay you down and love you right yeah that’s my kind of nightmight sit down on my diamond plate tailgate put in my country right hip-hop mixtape little conway a little t-pain might just make it rain you can hang your t-shirt on a limb hit that bank and we can ease on in soak us up a little moonlight you know i know what you like yeahall them other boys want to wine you up and take you downtown but you look like the kind that likes to take it way out out where the corn rows grow row row my boat floatin’ down the flint river catch us up a little catfish dinner going to sound like a winner when i lay you down and love you right yeah that’s my kind of night yeah that’s my kind of nightmy kinda-- your kind-- is this kind of night we dance in the dark and your lips land on mine oh oh oh oh oh gonna get our love on oh oh oh oh oh time to get our buzz onall them other boys want to wine you up and take you downtown but you look like the kind that likes to take it way out out where the corn rows grow row row my boat floatin’ down the flint river catch us up a little catfish dinner going to sound like a winner when i lay you down and love you right yeah that’s my kind of nightyeah that’s my kind of night that’s my kind of night yeah that’s my kind of night come on,country
light it up, luke bryan, i open my eyes reach for the phone not a word from you baby it don’t leave my sight since we had that fight can’t remember but maybe i blew you up in the middle of the night again you were drinking with your friends you ignored it but you got iti get so neurotic about it baby ‘cause i know you’re reading your phone i can’t help from going crazy thinking you might not be all alone i wake up i check it i shower and i check it i feel the buzz in my truck and i almost wreck it i always got it on me just in case you want me so if you’re looking for my love then light it upevery time i unlock my screen i hope i see one of them red lipstick ‘i miss you’ pictures i’m on your clock you’re in control you want me now baby go figure my worlds at the tips of your fingersi get so neurotic about it baby ‘cause i know you’re reading your phone i can’t help from going crazy thinking you might not be all alone i wake up i check it i shower and i check it i feel the buzz in my truck and i almost wreck it i always got it on me just in case you want me so if you’re looking for my love then light it up yeah baby then light it upi go to sleep i check it in the middle of the night i check it i feel the buzz in my bed and i don’t get no rest i always got it on me just in case you want me so if you’re looking for my love then light it up yeah baby light it up,country
play it again, luke bryan, she was sittin' all alone over on the tailgate tan legs swingin' by a georgia plate i was lookin' for her boyfriend thinkin' no way she ain't got one soon as i sat down i was fallin' in love tryin' to pour a little sugar in her dixie cup talkin' over the speakers in the back of that truck she jumped up and cut me offshe was like oh my god this is my song i've been listenin' to the radio all night long sittin' 'round waitin' for it to come on and here it is she was like come here boy i wanna dance 'fore i said a word she was takin' my hand spinnin' me around till it faded out and she gave me a kiss and she said play it again play it again play it again and i said play it again play it again play it againi'd gave that dj my last dime if he would have played it just one more time but a little while later we were sittin' in the drive in my truck before i walked her to the door i was scannin' like a fool am fm xm too but i stopped real quick when i heard that groove man you should have seen her light upshe was like oh my god this is my song we've been listenin' to the radio all night long i can't believe that it came back on but here it is she was like come here boy i wanna dance 'fore i said a word she was takin' my hand spinnin' in the headlights she gave me a goodnight kiss and i said play it again play it again play it againand she said play it again play it again play it again the next friday night we were sittin' out under the stars you should have seen her smile when i broke out my guitarshe was like oh my god this is my song i've been listenin' to the radio all night long sittin' 'round waitin' for it to come on and here it is she was like come here boy i wanna dance 'fore i said a word she was takin' my hand spinnin' in the headlights she gave me a goodnight kiss and she said play it again play it again play it again and i said play it again play it again play it againyeah play it again play it again play it again somebody play it again play it again play it again,country
to the moon and back, luke bryan, through the dirt and the gravel through the years and the miles every road that you traveled through the tears and the smiles through the clear and the muddy through the thick and thin the quiet nights the howling wind through the good and the ugly the blue and the black to the ends of the earth to the moon and backthrough all of the words the mean and the kind through the strings that unravel and the ties that bind from the crazy and the different to the more of the same from the coast is clear to a hurricane yeah i'll be right beside you on a roll or off the tracks to the ends of the earth to the moon and back to the moon and backthrough the bitter and the sweet the cold and the fire lonely cotton sheets and the burning desire until our song is over til the stars all fade to black i'm gonna love you to the ends of the earth to the moon and back yeah i'm gonna love you all the way to the moon and back to the moon and back,country
strip it down, luke bryan, let it fade to black let me run my fingers down your back let's whisper let’s don’t talk baby leave my t-shirt in the hall like a needle finds a groove baby we’ll remember what to do to drown out every distraction it’s time we made it happenstrip it down strip it down back to you and me like it used to be when it was an old back road with an old school beat cowboy boots by your little bare feet let it out tell me right now everything i need in them white cotton sheets dirty dance me slow in the summertime heat feel my belt turn loose from these old blue jeans we both know that we lost it somehow let’s get it found strip it down down downi wanna drop this cell phone now and let it shatter on the ground they ain’t holdin’ nothin’ these two hands until they’re holding you againoh strip it down strip it down back to you and me like it used to be when it was an old back road with an old school beat cowboy boots by your little bare feet let it out tell me right now everything i need in them white cotton sheets dirty dance me slow in the summertime heat feel my belt turn loose from these old blue jeans we both know that we lost it somehow let’s get it found strip it down down down strip it down down downi don’t wanna let you go no not tonight i just wanna love you so bad baby so let's close our eyesand strip it down strip it down back to you and me like it used to be when it was an old back road with an old school beat cowboy boots by your little bare feet let it out tell me right now everything i need in them white cotton sheets dirty dance me slow in the summertime heat feel my belt turn loose from these old blue jeans we both know that we lost it somehow let’s get it found strip it down down down strip it down down down strip it down down down strip it down down down,country
kick the dust up, luke bryan, kick the dust up c'monall week long it’s a farmin’ town they’re makin’ that money grow tractors plows with flashing lights backin’ up a two lane road they take one last lap around that sun up high goes down and then it's on come on girl kick it on back z71 like a cadillacwe go way out where there ain’t nobody we turn this cornfield into a party pedal to the floorboard eight up in a four door burnin’ up a back road song park it and we pile out baby watch your step now better have your boots on kick the dust up back it on up fill your cup up let’s tear it up up and kick the dust up kick the dust upbar downtown they got a line of people way out the door $10 dollar drinks it’s packed inside i don’t know what they’re waitin for got me a jar full of clear and i got that music for your ears and it’s like knock knock knock goes the diesel if you really wanna see the beautiful peoplewe go way out where there ain’t nobody we turn this cornfield into a party pedal to the floorboard eight up in a four door burnin’ up a back road song park it and we pile out baby watch your step now better have your boots on kick the dust up let's back it on up fill your cup up let’s tear it up up and kick the dust up c'monjust follow me down ‘neath the 32 bridge y'all be glad you did kick itwe go way out where there ain’t nobody we turn this cornfield into a party pedal to the floorboard eight up in a four door burnin’ up a back road song park it and we pile out baby watch your step now better have your boots on kick the dust up back it on up fill your cup up that’s what’s up up let’s kick the dust up,country
drunk on you, luke bryan, cottonwood fallin' like snow in july sunset riverside four wheel drivesiin a tail light circle roll down the windows turn it on up pour a little crown in a dixie cup get the party startedgirl you make my speakers go boom boom dancin' on the tailgate in a full moon that kinda thing makes a man go mmm hmmm you're lookin' so good in what's left of those blue jeans drip of honey on the money maker gotta be the best buzz i'm ever gonna find hey i'm a little drunk on you and high on summertimeif you ain't a 10 you're a 99 tippin' n' spillin' that home-made wine on your tied up t-shirt every little kiss is drivin' me wild throwin' little cherry bombs into my fire good god almightygirl you make my speakers go boom boom dancin' on the tailgate in a full moon that kinda thing makes a man go mmm hmmm you're lookin' so good in what's left of those blue jeans drip of honey on the money maker gotta be the best buzz i'm ever gonna find hey i'm a little drunk on you and high on summertimelet's slip on out where it's a little bit darker and when it gets a little bit hotter we'll take it off on out in the watergirl you make my speakers go boom boom dancin' on the tailgate in a full moon that kinda thing makes a man go mmm hmmm you're lookin' so good in what's left of those blue jeans drip of honey on the money maker gotta be the best buzz i'm ever gonna find hey i'm a little drunk on you and high on summertimeyeah i'm a little drunk on you,country
fast, luke bryan, fast that's the kind of car you wanna drive when you're sixteen fast that's the kind of boys that you want on your home team fast yeah you think you're gonna catch your big dreams just like that fast and here you are looking backsixty seconds now feels more like thirty tick-tock won't stop around it goes sand through the glass sure falls in a hurry all you keep trying to do is slow it down soak it in you're trying to make the good times last as long as you can but you can't man it just goes too fastfast that's what your parents said when we were falling in love it's too fast there ain't no way the two of us were ever going to last but we did and here we are and our only problem issixty seconds now feels more like thirty tick-tock won't stop around it goes sand through the glass sure falls in a hurry all you keep trying to do is slow it down soak it in you're trying to make the good times last as long as you can but you can't man it just goes too fastlooking at you looking out the window right now those eyes that dress that smile that laugh if i could hit pause i would somehow but it don't work like thatsixty seconds now feels more like thirty tick-tock won't stop around it goes sand through the glass sure falls in a hurry all you keep trying to do is slow it down soak it in you're trying to make the good times last as long as you can but you can't man it goes too fast it just goes too fast way too fast,country
home alone tonight, luke bryan, what you doing in this place well i could probably ask you the same thing another round girl what you think if you're buying well you know i'll drink some make it 707 do you want it on the rocks a double shot of heaven spilling out the top and we'll goshot for shot for shot 'til we forgot what we came here to forget ain't a clock a tick a tock that's gonna stop a night that we won't regret so put your drink down throw your camera up flip it around and snap a payback picture send it to my ex i'll send it to my ex and send them both a text saying we ain't going home alone tonight girl you ain't gotta i ain't gotta go home alone tonightslow country from a cover band i got you covered if you don't know how to dance but if you want we could grab a cab girl we got all night i got a bottomless tab so let's goshot for shot for shot 'til we forgot what we came here to forget ain't a clock a tick a tock that's gonna stop a night that we won't regret so put your drink down throw your camera up flip it around and snap a payback picture send it to my ex i'll send it to my ex and send them both a text saying we ain't going home alone tonight girl you ain't gotta i ain't gotta go home alone tonightit feels too good to let it end right here i ain't going home alone tonight so let's not let it end let it end right here girl you're going home with me so let's goshot for shot for shot 'til we forgot what we came here to forget ain't a clock a tick a tock that's gonna stop a night that we won't regret so put your drink down throw your camera up flip it around and snap a payback picture send it to my ex i'll send it to my ex and send them both a text saying we ain't going home alone tonight girl you ain't gotta i ain't gotta go home alone tonightno i ain't going home alone tonight girl you ain't gotta i ain't gotta go home alone tonight baby don't let me go home alonehome alone tonight,country
