most people are good, luke bryan, i believe kids oughta stay kids as long as they can~turn off the screen go climb a tree get dirt on their hands~i believe we gotta forgive and make amends~'cause nobody gets a second chance to make new old friends~i believe in working hard for what you've got~even if it don't add up to a hell of a lot~~i believe most people are good~and most mamas oughta qualify for sainthood~i believe most friday nights look better under neon or stadium lights~i believe you love who you love~ain't nothing you should ever be ashamed of~i believe this world ain't half~as bad as it looks~i believe most people are good~~i believe them streets of gold are worth the work~but i'd still wanna go even if they were paved in dirt~i believe that youth is spent well on the young~'cause wisdom in your teens would be a lot less fun~i believe if you just go by the nightly news~your faith in all mankind would be the first thing you lose~~i believe most people are good~and most mamas oughta qualify for sainthood~i believe most friday nights look better under neon or stadium lights~i believe you love who you love~ain't nothing you should ever be ashamed of~i believe this world ain't half as bad as it looks~i believe most people are good~~i believe that days go slow and years go fast~and every breath's a gift the first one to the last~~i believe most people are good~and most mamas oughta qualify for sainthood~i believe most friday nights look better under neon or stadium lights~i believe you love who you love~ain't nothing you should ever be ashamed of~i believe this world ain't half as bad as it looks~i believe most people are good~~i believe most people are good~i believe most people are good
that's my kind of night, luke bryan, i got that real good feel good stuff~up under the seat of my big black jacked up truck~rollin' on 35's pretty girl by my side~you got that sun tan skirt and boots~waiting on you to look my way and scoot~your little hot self over here~girl hand me another beer yeah!~~all them other boys want to wine you up and take you downtown~but you look like the kind that likes to take it way out~out where the corn rows grow row row my boat~floatin’ down the flint river catch us up a little catfish dinner~going to sound like a winner when i lay you down and love you right~yeah that’s my kind of night!~~might sit down on my diamond plate tailgate~put in my country right hip-hop mixtape~little conway a little t-pain might just make it rain~you can hang your t-shirt on a limb~hit that bank and we can ease on in~soak us up a little moonlight~you know i know what you like yeah!~~all them other boys want to wine you up and take you downtown~but you look like the kind that likes to take it way out~out where the corn rows grow row row my boat~floatin’ down the flint river catch us up a little catfish dinner~going to sound like a winner when i lay you down and love you right~yeah that’s my kind of night!~yeah that’s my kind of night!~~my kinda-- your kind-- is this kind of night~we dance in the dark and your lips land on mine~oh oh oh oh oh gonna get our love on~oh oh oh oh oh time to get our buzz on~~all them other boys want to wine you up and take you downtown~but you look like the kind that likes to take it way out~out where the corn rows grow row row my boat~floatin’ down the flint river catch us up a little catfish dinner~going to sound like a winner when i lay you down and love you right~yeah that’s my kind of night!~~yeah that’s my kind of night!~that’s my kind of night!~yeah that’s my kind of night!~come on
light it up, luke bryan, i open my eyes reach for the phone~not a word from you baby~it don’t leave my sight since we had that fight~can’t remember but maybe~i blew you up~in the middle of the night again~you were drinking with your friends~you ignored it but you got it~~i get so neurotic about it baby~‘cause i know you’re reading your phone~i can’t help from going crazy~thinking you might not be all alone~i wake up i check it i shower and i check it~i feel the buzz in my truck~and i almost wreck it~i always got it on me~just in case you want me~so if you’re looking for my love~then light it up~~every time i unlock my screen~i hope i see one of them red lipstick ‘i miss you’ pictures~i’m on your clock you’re in control~you want me now baby go figure~my worlds at the tips of your fingers~~i get so neurotic about it baby~‘cause i know you’re reading your phone~i can’t help from going crazy~thinking you might not be all alone~i wake up i check it i shower and i check it~i feel the buzz in my truck~and i almost wreck it~i always got it on me~just in case you want me~so if you’re looking for my love~then light it up~yeah baby then light it up~~i go to sleep i check it~in the middle of the night i check it~i feel the buzz in my bed~and i don’t get no rest~i always got it on me~just in case you want me~so if you’re looking for my love~then light it up~yeah baby light it up
play it again, luke bryan, she was sittin' all alone over on the tailgate~tan legs swingin' by a georgia plate~i was lookin' for her boyfriend~thinkin' no way she ain't got one~soon as i sat down i was fallin' in love~tryin' to pour a little sugar in her dixie cup~talkin' over the speakers in the back of that truck~she jumped up and cut me off~~she was like oh my god this is my song~i've been listenin' to the radio all night long~sittin' 'round waitin' for it to come on and here it is~she was like come here boy i wanna dance!~'fore i said a word she was takin' my hand~spinnin' me around till it faded out~and she gave me a kiss~and she said play it again play it again play it again~and i said play it again play it again play it again~~i'd gave that dj my last dime~if he would have played it just one more time~but a little while later~we were sittin' in the drive in my truck~before i walked her to the door~i was scannin' like a fool am fm xm too~but i stopped real quick when i heard that groove~man you should have seen her light up~~she was like oh my god this is my song~we've been listenin' to the radio all night long~i can't believe that it came back on but here it is~she was like come here boy i wanna dance!~'fore i said a word she was takin' my hand~spinnin' in the headlights she gave me a goodnight kiss~and i said play it again play it again play it again~~and she said play it again play it again play it again~the next friday night we were sittin' out under the stars~you should have seen her smile when i broke out my guitar~~she was like oh my god this is my song~i've been listenin' to the radio all night long~sittin' 'round waitin' for it to come on and here it is~she was like come here boy i wanna dance!~'fore i said a word she was takin' my hand~spinnin' in the headlights she gave me a goodnight kiss~and she said play it again play it again play it again~and i said play it again play it again play it again~~yeah play it again play it again play it again~somebody play it again play it again play it again
to the moon and back, luke bryan, through the dirt and the gravel~through the years and the miles~every road that you traveled~through the tears and the smiles~through the clear and the muddy~through the thick and thin~the quiet nights the howling wind~through the good and the ugly~the blue and the black~to the ends of the earth~to the moon and back~~through all of the words~the mean and the kind~through the strings that unravel~and the ties that bind~from the crazy and the different~to the more of the same~from the coast is clear~to a hurricane~yeah i'll be right beside you~on a roll or off the tracks~to the ends of the earth~to the moon and back~to the moon and back~~through the bitter and the sweet~the cold and the fire~lonely cotton sheets~and the burning desire~until our song is over~til the stars all fade to black~i'm gonna love you~to the ends of the earth~to the moon and back~yeah i'm gonna love you~all the way to the moon and back~to the moon and back
strip it down, luke bryan, let it fade to black~let me run my fingers down your back~let's whisper let’s don’t talk~baby leave my t-shirt in the hall~like a needle finds a groove~baby we’ll remember what to do~to drown out every distraction~it’s time we made it happen~~strip it down strip it down~back to you and me like it used to be~when it was an old back road with an old school beat~cowboy boots by your little bare feet~let it out tell me right now~everything i need in them white cotton sheets~dirty dance me slow in the summertime heat~feel my belt turn loose from these old blue jeans~we both know that we lost it somehow~let’s get it found~strip it down down down~~i wanna drop this cell phone now~and let it shatter on the ground~they ain’t holdin’ nothin’ these two hands~until they’re holding you again~~oh strip it down strip it down~back to you and me like it used to be~when it was an old back road with an old school beat~cowboy boots by your little bare feet~let it out tell me right now~everything i need in them white cotton sheets~dirty dance me slow in the summertime heat~feel my belt turn loose from these old blue jeans~we both know that we lost it somehow~let’s get it found~strip it down down down~strip it down down down~~i don’t wanna let you go~no not tonight~i just wanna love you so bad baby~so let's close our eyes~~and strip it down strip it down~back to you and me like it used to be~when it was an old back road with an old school beat~cowboy boots by your little bare feet~let it out tell me right now~everything i need in them white cotton sheets~dirty dance me slow in the summertime heat~feel my belt turn loose from these old blue jeans~we both know that we lost it somehow~let’s get it found~strip it down down down~strip it down down down~strip it down down down~strip it down down down
kick the dust up, luke bryan, kick the dust up c'mon~~all week long it’s a farmin’ town~they’re makin’ that money grow~tractors plows with flashing lights~backin’ up a two lane road~they take one last lap around~that sun up high goes down~and then it's on come on~girl kick it on back~z71 like a cadillac~~we go way out where~there ain’t nobody~we turn this cornfield~into a party~pedal to the floorboard~eight up in a four door~burnin’ up a back road song~park it and we pile out~baby watch your step now~better have your boots on~kick the dust up~back it on up~fill your cup up~let’s tear it up up~and kick the dust up (kick the dust up...)~~bar downtown they got a line~of people way out the door~$10 dollar drinks it’s packed inside~i don’t know what they’re waitin for~got me a jar full of clear~and i got that music for your ears~and it’s like knock knock knock goes the diesel~if you really wanna see the beautiful people~~we go way out where~there ain’t nobody~we turn this cornfield~into a party~pedal to the floorboard~eight up in a four door~burnin’ up a back road song~park it and we pile out~baby watch your step now~better have your boots on~kick the dust up~let's back it on up~fill your cup up~let’s tear it up up~and kick the dust up (c'mon)~~just follow me down ‘neath the 32 bridge~y'all be glad you did (kick it)~~we go way out where~there ain’t nobody~we turn this cornfield~into a party~pedal to the floorboard~eight up in a four door~burnin’ up a back road song~park it and we pile out~baby watch your step now~better have your boots on~kick the dust up~back it on up~fill your cup up~that’s what’s up up~let’s kick the dust up
drunk on you, luke bryan, cottonwood fallin' like snow in july~sunset riverside four wheel drivesiin a tail light circle~roll down the windows turn it on up~pour a little crown in a dixie cup~get the party started~~girl you make my speakers go boom boom~dancin' on the tailgate in a full moon~that kinda thing makes a man go mmm hmmm~you're lookin' so good in what's left of those blue jeans~drip of honey on the money maker gotta be~the best buzz i'm ever gonna find~hey i'm a little drunk on you~and high on summertime~~if you ain't a 10 you're a 9.9~tippin' n' spillin' that home-made wine~on your tied up t-shirt~every little kiss is drivin' me wild~throwin' little cherry bombs into my fire~good god almighty~~girl you make my speakers go boom boom~dancin' on the tailgate in a full moon~that kinda thing makes a man go mmm hmmm~you're lookin' so good in what's left of those blue jeans~drip of honey on the money maker gotta be~the best buzz i'm ever gonna find~hey i'm a little drunk on you~and high on summertime~~let's slip on out where it's a little bit darker~and when it gets a little bit hotter~we'll take it off on out in the water~~girl you make my speakers go boom boom~dancin' on the tailgate in a full moon~that kinda thing makes a man go mmm hmmm~you're lookin' so good in what's left of those blue jeans~drip of honey on the money maker gotta be~the best buzz i'm ever gonna find~hey i'm a little drunk on you~and high on summertime~~yeah i'm a little drunk on you
fast, luke bryan, fast~that's the kind of car you wanna drive when you're sixteen~fast~that's the kind of boys that you want on your home team~fast~yeah you think you're gonna catch your big dreams just like that~fast~and here you are looking back~~sixty seconds now feels more like thirty~tick-tock won't stop around it goes~sand through the glass sure falls in a hurry~all you keep trying to do is slow it down soak it in~you're trying to make the good times last as long as you can~but you can't man~it just goes too fast~~fast~that's what your parents said when we were falling in love~it's too fast~there ain't no way the two of us were ever going to last~but we did and here we are and our only problem is~~sixty seconds now feels more like thirty~tick-tock won't stop around it goes~sand through the glass sure falls in a hurry~all you keep trying to do is slow it down soak it in~you're trying to make the good times last as long as you can~but you can't man~it just goes too fast~~looking at you looking out the window right now~those eyes that dress that smile that laugh~if i could hit pause i would somehow~but it don't work like that~~sixty seconds now feels more like thirty~tick-tock won't stop around it goes~sand through the glass sure falls in a hurry~all you keep trying to do is slow it down soak it in~you're trying to make the good times last as long as you can~but you can't man~it goes too fast~it just goes too fast~way too fast
home alone tonight, luke bryan, what you doing in this place?~well i could probably ask you the same thing~another round girl what you think?~if you're buying well you know i'll drink~some make it 707~do you want it on the rocks?~a double shot of heaven~spilling out the top~and we'll go...~~shot for shot for shot~'til we forgot what we came here to forget~ain't a clock a tick a tock that's gonna stop~a night that we won't regret~so put your drink down throw your camera up~flip it around and snap a payback picture~(send it to my ex)~i'll send it to my ex~and send them both a text saying~we ain't going home alone tonight~girl you ain't gotta i ain't gotta go~home alone tonight~~slow country from a cover band~i got you covered if you don't know how to dance~but if you want we could grab a cab~girl we got all night i got a bottomless tab~so let's go...~~shot for shot for shot~'til we forgot what we came here to forget~ain't a clock a tick a tock that's gonna stop~a night that we won't regret~so put your drink down throw your camera up~flip it around and snap a payback picture~(send it to my ex)~i'll send it to my ex~and send them both a text saying~we ain't going home alone tonight~girl you ain't gotta i ain't gotta go~home alone tonight~~it feels too good to let it end right here~i ain't going home alone tonight~(so let's not let it end let it end right here)~girl you're going home with me~so let's go...~~shot for shot for shot~'til we forgot what we came here to forget~ain't a clock a tick a tock that's gonna stop~a night that we won't regret~so put your drink down throw your camera up~flip it around and snap a payback picture~(send it to my ex)~i'll send it to my ex~and send them both a text saying~we ain't going home alone tonight~girl you ain't gotta i ain't gotta go~home alone tonight~~(no i ain't going home alone tonight)~girl you ain't gotta i ain't gotta go~home alone tonight~(baby don't let me go home alone )~home alone tonight
huntin' fishin' & lovin' every day, luke bryan, woah woah~wo-wooah mmm~~if i could make a living from walking in the woods~you can bet i'd be sitting pretty good~high on a hill looking at a field downwind~if i could make a nickel off a turning 'em bass~never worry about the price of gas~i'd be wheeling and dealing and sittin' there reeling 'em in~~huntin' fishin' and lovin' every day~that's the prayer that a country boy prays~thank god he made me this way~huntin' fishin' and lovin' every day~early in the morning late in the evening~i'm getting red dirt rich and flint river paid~huntin' and fishin' and lovin' every day~~i'd get a little farm pond bus~sound of gravel when i'm backin' up~pulling the string on a nine point nine two stroke mercury~i love it when my baby wants to roll with me~throws her boots on climbs in a tree~tuckin' her hair in my hat and she's ready to go~~we get to huntin' fishin' and lovin' every day~that's the prayer that a country boy prays~thank god he made me this way~huntin' fishin' and lovin' every day~early in the morning late in the evening~i'm getting red dirt rich flint river pay~huntin' and fishin' and lovin' every day~~so while y'all are up there~breathin' in that old dirty air~i'll be down here knee deep in the muckalee~huntin' fishin' and lovin' every day~i wanna see them tall pines sway~y'all close them eyes~lets go there in our mind~~huntin' fishin' and lovin' every day~that's the prayer this country boy prays~thank god he made me this way~huntin' fishin' and lovin' every day~black coffee in the morning dark whiskey in the evening~i get red dirt rich and flint river pay~huntin' and fishin' and lovin' every day~come on~~won't you come along with me~won't you come along with me~i know you wanna see~huntin' and fishin' and lovin' every day~yeah
what makes you country, luke bryan, people talkin' ’bout what is and what ain’t country~what gives ’em the right to wear a pair of beat-up boots?~is it the size of your tires and your fires or your wild ass buddies?~well give me a minute let me hit you with some hometown truth~~you could be a cowboy on the texas plain~or a plowboy waitin’ on the rain~we’re all a little different but we’re all the same~everybody doin' their own thing~~i got my dirt road cred when i was twelve~on a no cab tractor hauling them bales~backing in boats fishing limb lines~running bird dogs through the georgia pines~step side cover down in peanut dust~friday night spotlight and that was us~it might not have been you but i can't judge~just be proud of what makes you country~~does it run in your blood?~did it come from your daddy and mama?~were you converted by an alabama song on the radio?~that feels so right~did you lock eyes with a little green-eyed girl from jackson?~tell me what got ya i just gotta know~~me i got my sunday learning in a live oak church~silver queen corn in a backyard dirt~waiting for the fall to finally come along~so i can grab my gun and get my outside on~step side cover down in peanut dust~friday night spotlight and that was us~it might not have been you but i can't judge~just be proud of what makes you country~~might be from a city or a little farm town~whatever kind of square that you drove around~do you wear it on your sleeve or keep it deep down?~you know you gotta let it out~~i got my dirt road cred back when i was twelve~on a no cab tractor hauling them bales~backing in boats fishing limb lines~running bird dogs through them georgia pines~step side cover down in peanut dust~friday night spotlight and that was us~it might not have been you but i ain't judging~and just be proud of what makes you country~whatever makes you country~~you do your kind of country~they doing they kind of country~i do my kind of country~whatever makes us country
drink a beer, luke bryan, when i got the news today~i didn't know what to say~so i just hung up the phone~i took a walk to clear my head~this is where the walking lead~can't believe you're really gone~don't feel like going home~~so i'm gonna sit right here~on the edge of this pier~watch the sunset disappear~and drink a beer~~funny how the good ones go~too soon but the good lord knows~the reasons why i guess~sometimes the greater plan~is kinda hard to understand~right now it don't make sense~i can't make it all make sense~~so i'm gonna sit right here~on the edge of this pier~watch the sunset disappear~and drink a beer~~so long my friend~'till we meet again~i'll remember you~and all the times that we used to...~~sit right here~on the edge of this pier~watch the sunset disappear~and drink a beer~drink a beer yeah
